GeneSymbol	GeneId	EvidenceCode	Comments	isNegative	ExternalDatabase	DatabaseLink	Phenotypes
CDC73	79577	TAS	Hyperparathyroidism, familial primary		OMIM	145000	hyperparathyroidism
CASR	846	TAS	Hyperparathyroidism, neonatal		OMIM	239200	hyperparathyroidism
PCBD1	5092	TAS	Hyperphenylalaninemia, BH4-deficient, D		OMIM	264070	Hyperphenylalaninemia
GCH1	2643	TAS	Hyperphenylalaninemia, BH4-deficient, B		OMIM	233910	Hyperphenylalaninemia
PTS	5805	TAS	Hyperphenylalaninemia, BH4-deficient, A		OMIM	261640	Hyperphenylalaninemia
QDPR	5860	TAS	Hyperphenylalaninemia, BH4-deficient, C		OMIM	261630	Hyperphenylalaninemia
ALDH4A1	8659	TAS	Hyperprolinemia, type II		OMIM	239510	Hyperprolinemia
PRODH	5625	TAS	Hyperprolinemia, type I		OMIM	239500	Hyperprolinemia
NLRP1	22861	TAS	{Vitiligo-associated multiple autoimmune disease susceptibility 1}		OMIM	606579	hypersensitivity reaction type II disease
FOXD3	27022	TAS	{Autoimmune disease, susceptibility to, 1}		OMIM	607836	hypersensitivity reaction type II disease
SIAE	54414	TAS	{Autoimmune disease, susceptibility to, 6}		OMIM	613551	hypersensitivity reaction type II disease
ITCH	83737	TAS	Autoimmune disease, syndromic multisystem		OMIM	613385	hypersensitivity reaction type II disease
KCNMB1	3779	TAS	{Hypertension, diastolic, resistance to}		OMIM	608622	hypertension
NR3C2	4306	TAS	Hypertension, early-onset, autosomal dominant, with exacerbation in pregnancy		OMIM	605115	hypertension
TSHR	7253	TAS	Hyperthyroidism, nonautoimmune		OMIM	609152	hyperthyroidism
TSHR	7253	TAS	Hyperthyroidism, familial gestational		OMIM	603373	hyperthyroidism
TTR	7276	TAS	[Dystransthyretinemic hyperthyroxinemia]		OMIM	145680	hyperthyroxinemia
GPD1	2819	TAS	Hypertriglyceridemia, transient infantile		OMIM	614480	Hypertriglyceridemia
MYLK2	85366	TAS	Cardiomyopathy, hypertrophic, midventricular, digenic		OMIM	192600	hypertrophic cardiomyopathy;familial hypertrophic cardiomyopathy
CAV3	859	TAS	Cardiomyopathy, familial hypertrophic		OMIM	192600	hypertrophic cardiomyopathy;familial hypertrophic cardiomyopathy
SLC25A4	291	TAS	Cardiomyopathy, familial hypertrophic		OMIM	192600	hypertrophic cardiomyopathy;familial hypertrophic cardiomyopathy
MYH7	4625	TAS	Cardiomyopathy, familial hypertrophic, 1		OMIM	192600	hypertrophic cardiomyopathy;familial hypertrophic cardiomyopathy
CYP11B2	1585	TAS	Hypoaldosteronism, congenital, due to CMO II deficiency		OMIM	610600	hypoaldosteronism
CYP11B2	1585	TAS	Hypoaldosteronism, congenital, due to CMO I deficiency		OMIM	203400	hypoaldosteronism
ANGPTL3	27329	TAS	Hypobetalipoproteinemia, familial, 2		OMIM	605019	hypobetalipoproteinemia
FGFR3	2261	TAS	Hypochondroplasia		OMIM	146000	hypochondroplasia
SLC11A2	4891	TAS	Anemia, hypochromic microcytic		OMIM	206100	hypochromic microcytic anemia
WDR11	55717	TAS	Hypogonadtropic hypogonadism 14 with or without anosmia		OMIM	614858	hypogonadism
IKBKG	8517	TAS	Ectodermal dysplasia, hypohidrotic, with immune deficiency		OMIM	300291	hypohidrotic ectodermal dysplasia
EDAR	10913	TAS	Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive		OMIM	224900	hypohidrotic ectodermal dysplasia
EDAR	10913	TAS	Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant		OMIM	129490	hypohidrotic ectodermal dysplasia
EDA	1896	TAS	Ectodermal dysplasia 1, hypohidrotic, X-linked		OMIM	305100	hypohidrotic ectodermal dysplasia
SCN4A	6329	TAS	Hypokalemic periodic paralysis, type 2		OMIM	613345	hypokalemic periodic paralysis
CACNA1S	779	TAS	Hypokalemic periodic paralysis, type 1		OMIM	170400	hypokalemic periodic paralysis
CLDN19	149461	TAS	Hypomagnesemia 5, renal, with ocular involvement		OMIM	248190	Hypomagnesemia
EGF	1950	TAS	Hypomagnesemia 4, renal		OMIM	611718	Hypomagnesemia
TRPM6	140803	TAS	Hypomagnesemia 1, intestinal		OMIM	602014	Hypomagnesemia
CNNM2	54805	TAS	Hypomagnesemia 6, renal		OMIM	613882	Hypomagnesemia
CLDN16	10686	TAS	Hypomagnesemia 3, renal		OMIM	248250	Hypomagnesemia
SLC25A12	8604	TAS	Hypomyelination, global cerebral		OMIM	612949	Hypomyelination
GCM2	9247	TAS	Hypoparathyroidism, familial isolated		OMIM	146200	hypoparathyroidism
PTH	5741	TAS	Hypoparathyroidism, autosomal dominant; Hypoparathyroidism, autosomal recessive		OMIM	146200	hypoparathyroidism
CASR	846	TAS	Hypocalcemia, autosomal dominant		OMIM	146200	hypoparathyroidism
ALPL	249	TAS	Hypophosphatasia, adult; Odontohypophosphatasia		OMIM	146300	hypophosphatasia
ALPL	249	TAS	Hypophosphatasia, infantile		OMIM	241500	hypophosphatasia
ALPL	249	TAS	Hypophosphatasia, childhood		OMIM	241510	hypophosphatasia
GJA1	2697	TAS	Hypoplastic left heart syndrome 1		OMIM	241550	hypoplastic left heart syndrome
NKX2-5	1482	TAS	Hypoplastic left heart syndrome 2		OMIM	614435	hypoplastic left heart syndrome
B2M	567	TAS	Hypoproteinemia, hypercatabolic		OMIM	241600	Hypoproteinemia
AR	367	TAS	Hypospadias 1, X-linked		OMIM	300633	hypospadias
MAMLD1	10046	TAS	Hypospadias 2, X-linked		OMIM	300758	hypospadias
THRA	7067	TAS	Hypothyroidism, congenital, nongoitrous, 6		OMIM	614450	hypothyroidism
IGSF1	3547	TAS	Hypothyroidism, central, and testicular enlargement		OMIM	300888	Hypothyroidism
NKX2-5	1482	TAS	Hypothyroidism, congenital nongoitrous, 5		OMIM	225250	hypothyroidism
CTLA4	1493	TAS	{Hypothyroidism, autoimmune}		OMIM	140300	hypothyroidism
HR	55806	TAS	Hypotrichosis, hereditary, Marie Unna type, 1		OMIM	146550	hypotrichosis
DSG4	147409	TAS	Hypotrichosis, localized, autosomal recessive		OMIM	607903	hypotrichosis
LPAR6	10161	TAS	Hypotrichosis 8; Woolly hair, autosomal recessive 1, with or without hypotrichosis		OMIM	278150	hypotrichosis
CDSN	1041	TAS	Hypotrichosis simplex of scalp 1		OMIM	146520	hypotrichosis
SNRPE	6635	TAS	Hypotrichosis 11		OMIM	615059	hypotrichosis
LIPH	200879	TAS	Hypotrichosis, localized, autosomal recessive 2; Woolly hair, autosomal recessive 2 with or without hypotrichosis		OMIM	604379	hypotrichosis
DSC3	1825	TAS	Hypotrichosis and recurrent skin vesicles		OMIM	613102	Hypotrichosis
APCDD1	147495	TAS	Hypotrichosis simplex		OMIM	605389	hypotrichosis
CDH3	1001	TAS	Hypotrichosis, congenital, with juvenile macular dystrophy		OMIM	601553	hypotrichosis
SLC2A9	56606	TAS	Hypouricemia, renal, 2; {Uric acid concentration, serum, QTL 2}		OMIM	612076	Hypouricemia
SLC22A12	116085	TAS	Hypouricemia, renal		OMIM	220150	Hypouricemia
KRT1	3848	TAS	Ichthyosis histrix, Curth-Macklin type		OMIM	146590	Ichthyosiform abnormality of the skin
KRT2	3849	TAS	Ichthyosis bullosa of Siemens		OMIM	146800	Ichthyosiform abnormality of the skin
FLG	2312	TAS	Ichthyosis vulgaris		OMIM	146700	ichthyosis vulgaris
SFTPA1	653509	TAS	{Pulmonary fibrosis, idiopathic, susceptibility to}		OMIM	178500	idiopathic pulmonary fibrosis
SFTPA2	729238	TAS	Pulmonary fibrosis, idiopathic		OMIM	178500	idiopathic pulmonary fibrosis
MUC5B	727897	TAS	{Pulmonary fibrosis, idiopathic, susceptibility to}		OMIM	178500	idiopathic pulmonary fibrosis
CD40LG	959	TAS	Immunodeficiency, X-linked, with hyper-IgM		OMIM	308230	Immunodeficiency
FCN3	8547	TAS	Immunodeficiency due to ficolin 3 deficiency		OMIM	613860	Immunodeficiency
AICDA	57379	TAS	Immunodeficiency with hyper-IgM, type 2		OMIM	605258	Immunodeficiency
FOXN1	8456	TAS	T-cell immunodeficiency, congenital alopecia, and nail dystrophy		OMIM	601705	Immunodeficiency
LRBA	987	TAS	Immunodeficiency, common variable, 8, with autoimmunity		OMIM	614700	Immunodeficiency
LAMTOR2	28956	TAS	Immunodeficiency due to defect in MAPBP-interacting protein		OMIM	610798	Immunodeficiency
MAGT1	84061	TAS	Immunodeficiency, X-linked, with magnesium defect, Epstein-Barr virus infection and neoplasia		OMIM	300853	Immunodeficiency
CD40	958	TAS	Immunodeficiency with hyper-IgM, type 3		OMIM	606843	Immunodeficiency
CD247	919	TAS	Immunodeficiency due to defect in CD3-zeta		OMIM	610163	Immunodeficiency
UNG	7374	TAS	Immunodeficiency with hyper IgM, type 5		OMIM	608106	Immunodeficiency
IKBKG	8517	TAS	Immunodeficiency, isolated		OMIM	300584	Immunodeficiency
CR2	1380	TAS	Immunodeficiency, common variable, 7		OMIM	614699	Immunodeficiency
ALB	213	TAS	[Dysalbuminemic hyperzincemia]		OMIM	194470	Increased serum zinc
STXBP1	6812	TAS	Epileptic encephalopathy, early infantile, 4		OMIM	612164	infantile epileptic encephalopathy
PNKP	11284	TAS	Epileptic encephalopathy, early infantile, 10		OMIM	613402	infantile epileptic encephalopathy
PLCB1	23236	TAS	Epileptic encephalopathy, early infantile, 12		OMIM	613722	infantile epileptic encephalopathy
ARHGEF9	23229	TAS	Epileptic encephalopathy, early infantile, 8		OMIM	300607	infantile epileptic encephalopathy
SLC25A22	79751	TAS	Epileptic encephalopathy, early infantile, 3		OMIM	609304	infantile epileptic encephalopathy
SCN2A	6326	TAS	Epileptic encephalopathy, early infantile, 11		OMIM	613721	infantile epileptic encephalopathy
CDKL5	6792	TAS	Epileptic encephalopathy, early infantile, 2		OMIM	300672	infantile epileptic encephalopathy
SPTAN1	6709	TAS	Epileptic encephalopathy, early infantile, 5		OMIM	613477	infantile epileptic encephalopathy
PCDH19	57526	TAS	Epileptic encephalopathy, early infantile, 9		OMIM	300088	infantile epileptic encephalopathy
KCNQ2	3785	TAS	Epileptic encephalopathy, early infantile, 7		OMIM	613720	infantile epileptic encephalopathy
SCN8A	6334	TAS	Epileptic encephalopathy, early infantile, 13		OMIM	614558	infantile epileptic encephalopathy 
ST3GAL3	6487	TAS	Epileptic encephalopathy, early infantile, 15		OMIM	615006	infantile epileptic encephalopathy 
KCNT1	57582	TAS	Epileptic encephalopathy, early infantile, 14		OMIM	614959	infantile epileptic encephalopathy 
C10orf2	56652	TAS	Mitochondrial DNA depletion syndrome 7 (hepatocerebral type)		OMIM	271245	infantile onset spinocerebellar ataxia
PEX12	5193	TAS	Peroxisome biogenesis disorder 3B		OMIM	266510	infantile refsum disease;Refsum disease
ATG16L1	55054	TAS	{Inflammatory bowel disease 10}		OMIM	611081	inflammatory bowel disease
IL10RB	3588	TAS	Inflammatory bowel disease 25, early onset, autosomal recessive		OMIM	612567	inflammatory bowel disease
IL10RA	3587	TAS	Inflammatory bowel disease 28, early onset, autosomal recessive		OMIM	613148	inflammatory bowel disease
IRF5	3663	TAS	{Inflammatory bowel disease 14}		OMIM	612245	inflammatory bowel disease
IRGM	345611	TAS	Inflammatory bowel disease 19		OMIM	612278	inflammatory bowel disease
IL23R	149233	TAS	{Inflammatory bowel disease 17, protection against}		OMIM	612261	inflammatory bowel disease
ABCB1	5243	TAS	{Inflammatory bowel disease 13}		OMIM	612244	inflammatory bowel disease
IL6	3569	TAS	{Crohn disease-associated growth failure}		OMIM	266600	inflammatory bowel disease;ulcerative colitis
NOD2	64127	TAS	{Inflammatory bowel disease 1}		OMIM	266600	inflammatory bowel disease;ulcerative colitis
IFITM3	10410	TAS	{Influenza, severe, susceptibility to}		OMIM	614680	influenza
DIP2B	57609	TAS	Mental retardation, FRA12A type		OMIM	136630	intellectual disability
NSUN2	54888	TAS	Mental retardation, autosomal recessive 5		OMIM	611091	intellectual disability
MECP2	4204	TAS	Mental retardation, X-linked, syndromic 13		OMIM	300055	intellectual disability
GDI1	2664	TAS	Mental retardation, X-linked 41		OMIM	300849	intellectual disability
GRIA3	2892	TAS	Mental retardation, X-linked 94		OMIM	300699	intellectual disability
CC2D1A	54862	TAS	Mental retardation, autosomal recessive 3		OMIM	608443	intellectual disability
IL1RAPL1	11141	TAS	Mental retardation, X-linked 21/34		OMIM	300143	intellectual disability
ZDHHC15	158866	TAS	Mental retardation, X-linked 91		OMIM	300577	intellectual disability
MAN1B1	11253	TAS	Mental retardation, autosomal recessive 15		OMIM	614202	intellectual disability
RPS6KA3	6197	TAS	Mental retardation, X-linked 19		OMIM	300844	intellectual disability
MED23	9439	TAS	Mental retardation, autosomal recessive 18		OMIM	614249	intellectual disability
GRIN1	2902	TAS	Mental retardation, autosomal dominant 8		OMIM	614254	intellectual disability
GRIK2	2898	TAS	Mental retardation, autosomal recessive, 6		OMIM	611092	intellectual disability
AGTR2	186	TAS	Mental retardation, X-linked 88		OMIM	300852	intellectual disability
MECP2	4204	TAS	Mental retardation, X-linked syndromic, Lubs type		OMIM	300260	intellectual disability
SYP	6855	TAS	Mental retardation, X-linked 96		OMIM	300802	intellectual disability
AFF2	2334	TAS	Mental retardation, X-linked, FRAXE type		OMIM	309548	intellectual disability
EPB41L1	2036	TAS	Mental retardation, autosomal dominant 11		OMIM	614257	intellectual disability
ZNF41	7592	TAS	Mental retardation, X-linked 89		OMIM	300848	intellectual disability
ACSL4	2182	TAS	Mental retardation, X-linked 63		OMIM	300387	intellectual disability
PACS1	55690	TAS	Mental retardation, autosomal dominant 17		OMIM	615009	intellectual disability
HSD17B10	3028	TAS	Mental retardation, X-linked 17/31, microduplication		OMIM	300705	intellectual disability
CRBN	51185	TAS	Mental retardation, autosomal recessive 2		OMIM	607417	intellectual disability
DYRK1A	1859	TAS	Mental retardation, autosomal dominant 7		OMIM	614104	intellectual disability
MBD5	55777	TAS	Mental retardation, autosomal dominant 1		OMIM	156200	intellectual disability
KIRREL3	84623	TAS	Mental retardation, autosomal dominant 4		OMIM	612581	intellectual disability
CRADD	8738	TAS	Mental retardation, autosomal recessive 34		OMIM	614499	intellectual disability
TRAPPC9	83696	TAS	Mental retardation, autosomal recessive 13		OMIM	613192	intellectual disability
SLC9A6	10479	TAS	Mental retardation, X-linked syndromic, Christianson type		OMIM	300243	intellectual disability
CLIC2	1193	TAS	Mental retardation, X-linked, syndromic 32		OMIM	300886	intellectual disability
TECR	9524	TAS	Mental retardation, autosomal recessive 14		OMIM	614020	intellectual disability
SMARCB1	6598	TAS	Mental retardation, autosomal dominant 15		OMIM	614608	intellectual disability
ARID1B	57492	TAS	Mental retardation, autosomal dominant 12		OMIM	614562	intellectual disability
KDM5C	8242	TAS	Mental retardation, X-linked, syndromic, Claes-Jensen type		OMIM	300534	intellectual disability
CUL4B	8450	TAS	Mental retardation, X-linked, syndromic 15 (Cabezas type)		OMIM	300354	intellectual disability
ST3GAL3	6487	TAS	Mental retardation, autosomal recessive 12		OMIM	611090	intellectual disability
SMARCA4	6597	TAS	Mental retardation, autosomal dominant 16		OMIM	614609	intellectual disability
PRSS12	8492	TAS	Mental retardation, autosomal recessive 1		OMIM	249500	intellectual disability
RAB39B	116442	TAS	Mental retardation, X-linked 72		OMIM	300271	intellectual disability
OPHN1	4983	TAS	Mental retardation, X-linked, with cerebellar hypoplasia and distinctive facial appearance		OMIM	300486	intellectual disability
HUWE1	10075	TAS	Mental retardation, X-linked syndromic, Turner type		OMIM	300706	intellectual disability
ARHGEF6	9459	TAS	Mental retardation, X-linked 46		OMIM	300436	intellectual disability
DLG3	1741	TAS	Mental retardation, X-linked 90		OMIM	300850	intellectual disability
ARX	170302	TAS	Mental retardation, X-linked 29 and others		OMIM	300419	intellectual disability
UPF3B	65109	TAS	Mental retardation, X-linked, syndromic 14		OMIM	300676	intellectual disability
CACNG2	10369	TAS	Mental retardation, autosomal dominant 10		OMIM	614256	intellectual disability
RAB40AL	282808	TAS	Mental retardation, X-linked, syndromic, Martin-Probst type		OMIM	300519	intellectual disability
ZNF711	7552	TAS	Mental retardation, X-linked 97		OMIM	300803	intellectual disability
GRIN2B	2904	TAS	Mental retardation, autosomal dominant 6		OMIM	613970	intellectual disability
AP1S2	8905	TAS	Mental retardation, X-linked syndromic, Fried type		OMIM	300630	intellectual disability
DYNC1H1	1778	TAS	Mental retardation, autosomal dominant 13		OMIM	614563	intellectual disability
ARID1A	8289	TAS	Mental retardation, autosomal dominant 14		OMIM	614607	intellectual disability
TSPAN7	7102	TAS	Mental retardation, X-linked 58		OMIM	300210	intellectual disability
CDH15	1013	TAS	Mental retardation, autosomal dominant 3		OMIM	612580	intellectual disability
ZNF81	347344	TAS	Mental retardation, X-linked 45		OMIM	300498	intellectual disability
PHF8	23133	TAS	Mental retardation syndrome, X-linked, Siderius type		OMIM	300263	intellectual disability
GATAD2B	57459	TAS	Mental retardation, autosomal dominant 18		OMIM	615074	intellectual disability
HCFC1	3054	TAS	Mental retardation, X-linked 3		OMIM	309541	intellectual disability
FTSJ1	24140	TAS	Mental retardation, X-linked 9		OMIM	309549	intellectual disability
DOCK8	81704	TAS	Mental retardation, autosomal dominant 2		OMIM	614113	intellectual disability
BRWD3	254065	TAS	Mental retardation, X-linked 93		OMIM	300659	intellectual disability
ZDHHC9	51114	TAS	Mental retardation, X-linked syndromic, Raymond type		OMIM	300799	intellectual disability
CTNNB1	1499	TAS	Mental retardation, autosomal dominant 19		OMIM	615075	intellectual disability
UBE2A	7319	TAS	Mental retardation, X-linked syndromic, Nascimento-type		OMIM	300860	intellectual disability
ZNF674	641339	TAS	Mental retardation, X-linked 92		OMIM	300851	intellectual disability
SMS	6611	TAS	Mental retardation, X-linked, Snyder-Robinson type		OMIM	309583	intellectual disability
TUSC3	7991	TAS	Mental retardation, autosomal recessive 7		OMIM	611093	intellectual disability
HSD17B10	3028	TAS	Mental retardation, X-linked syndromic 10		OMIM	300220	intellectual disability
IQSEC2	23096	TAS	Mental retardation, X-linked 1		OMIM	309530	intellectual disability
MAGT1	84061	TAS	Mental retardation, X-linked 95		OMIM	300716	intellectual disability
SYNGAP1	8831	TAS	Mental retardation, autosomal dominant 5		OMIM	612621	intellectual disability
KIF1A	547	TAS	Mental retardation, autosomal dominant 9		OMIM	614255	intellectual disability
SOX3	6658	TAS	Mental retardation, X-linked, with isolated growth hormone deficiency		OMIM	300123	intellectual disability;Growth hormone deficiency
FOXP1	27086	TAS	Mental retardation with language impairment and autistic features		OMIM	613670	intellectual disability;Language impairment;autism spectrum disorder
SMN1	6606	TAS	Spinal muscular atrophy-2		OMIM	253550	intermediate spinal muscular atrophy
FAN1	22909	TAS	Interstitial nephritis, karyomegalic		OMIM	614817	interstitial nephritis
IL6	3569	TAS	{Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to}		OMIM	108010	Intracranial hemorrhage
GP1BA	2811	TAS	{Nonarteritic anterior ischemic optic neuropathy, susceptibility to}		OMIM	258660	ischemic optic neuropathy
IVD	3712	TAS	Isovaleric acidemia		OMIM	243500	isovaleric acidemia
KCNE1	3753	TAS	Jervell and Lange-Nielsen syndrome 2		OMIM	612347	Jervell-Lange Nielsen syndrome
KCNQ1	3784	TAS	Jervell and Lange-Nielsen syndrome		OMIM	220400	Jervell-Lange Nielsen syndrome
STAT3	6774	TAS	Hyper-IgE recurrent infection syndrome		OMIM	147060	Job's syndrome
UBR1	197131	TAS	Johanson-Blizzard syndrome		OMIM	243800	Johanson-Blizzard syndrome
NF1	4763	TAS	Leukemia, juvenile myelomonocytic		OMIM	607785	juvenile myelomonocytic leukemia
PTPN11	5781	TAS	Leukemia, juvenile myelomonocytic		OMIM	607785	juvenile myelomonocytic leukemia
ARHGAP26	23092	TAS	Leukemia, juvenile myelomonocytic		OMIM	607785	juvenile myelomonocytic leukemia
EFHC1	114327	TAS	{Myoclonic epilepsy, juvenile, susceptibility to, 1}		OMIM	254770	juvenile myoclonic epilepsy
EFHC1	114327	TAS	{Epilepsy, juvenile absence, susceptibility to, 1}		OMIM	607631	juvenile myoclonic epilepsy
SMN1	6606	TAS	Spinal muscular atrophy-3		OMIM	253400	juvenile spinal muscular atrophy
SMN2	6607	TAS	{Spinal muscular atrophy, type III, modifier of}		OMIM	253400	juvenile spinal muscular atrophy
PROKR2	128674	TAS	Hypogonadotropic hypogonadism 3 with or without anosmia		OMIM	244200	Kallmann syndrome
FGF8	2253	TAS	Hypogonadotropic hypogonadism 6 with or without anosmia		OMIM	612702	Kallmann syndrome
FGFR1	2260	TAS	Hypogonadotropic hypogonadism 2 with or without anosmia		OMIM	147950	Kallmann syndrome
CHD7	55636	TAS	Hypogonadotropic hypogonadism 5 with or without anosmia		OMIM	612370	Kallmann syndrome
PROK2	60675	TAS	Hypogonadotropic hypogonadism 4 with or without anosmia		OMIM	610628	Kallmann syndrome
IL6	3569	TAS	{Kaposi sarcoma, susceptibility to}		OMIM	148000	Kaposi's sarcoma
ITPKC	80271	TAS	{Kawasaki disease, susceptibility to}		OMIM	611775	Kawasaki disease
ANKRD11	29123	TAS	KBG syndrome		OMIM	148050	KBG syndrome
AR	367	TAS	Spinal and bulbar muscular atrophy of Kennedy		OMIM	313200	Kennedy's disease
PAX6	5080	TAS	Keratitis		OMIM	148190	keratitis
VSX1	30813	TAS	Keratoconus 1		OMIM	148300	keratoconus
DSG1	1828	TAS	Keratosis palmoplantaris striata I		OMIM	148700	keratosis
ATP2A2	488	TAS	Darier disease		OMIM	124200	keratosis follicularis
TAC3	6866	TAS	Hypogonadotropic hypogonadism 10 with or without anosmia		OMIM	614839	Klinefelter's syndrome
KISS1	3814	TAS	Hypogonadotropic hypogonadism 13 with or without anosmia		OMIM	614842	Klinefelter's syndrome
NSMF	26012	TAS	Hypogonadotropic hypogonadism 9 with or without anosmia		OMIM	614838	Klinefelter's syndrome
KAL1	3730	TAS	Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1)		OMIM	308700	Klinefelter's syndrome
TACR3	6870	TAS	Hypogonadotropic hypogonadism 11 with or without anosmia		OMIM	614840	Klinefelter's syndrome
GNRHR	2798	TAS	Hypogonadotropic hypogonadism 7 with or without anosmia		OMIM	146110	Klinefelter's syndrome
KISS1R	84634	TAS	Hypogonadotropic hypogonadism 8 with or without anosmia		OMIM	614837	Klinefelter's syndrome
GNRH1	2796	TAS	Hypogonadotropic hypogonadism 12 with or without anosmia		OMIM	614841	Klinefelter's syndrome
GDF6	392255	TAS	Klippel-Feil syndrome 1, autosomal dominant		OMIM	118100	Klippel-Feil syndrome
MEOX1	4222	TAS	Klippel-Feil syndrome 2		OMIM	214300	Klippel-Feil syndrome
GDF3	9573	TAS	Klippel-Feil syndrome 3, autosomal dominant		OMIM	613702	Klippel-Feil syndrome
COL2A1	1280	TAS	Kniest dysplasia		OMIM	156550	Kniest dysplasia
PSAP	5660	TAS	Krabbe disease, atypical		OMIM	611722	Krabbe disease
GALC	2581	TAS	Krabbe disease		OMIM	245200	Krabbe disease
PRNP	5621	TAS	{Kuru, susceptibility to}		OMIM	245300	kuru encephalopathy
L2HGDH	79944	TAS	L-2-hydroxyglutaric aciduria		OMIM	236792	L-2-hydroxyglutaric aciduria
MCM6	4175	TAS	Lactase persistance/nonpersistance		OMIM	223100	lactose intolerance
FGFR3	2261	TAS	LADD syndrome		OMIM	149730	LADD syndrome
FGF10	2255	TAS	LADD syndrome		OMIM	149730	LADD syndrome
FGFR2	2263	TAS	LADD syndrome		OMIM	149730	LADD syndrome
EPM2A	7957	TAS	Epilepsy, progressive myoclonic 2A (Lafora)		OMIM	254780	Lafora disease
NHLRC1	378884	TAS	Epilepsy, progressive myoclonic 2B (Lafora)		OMIM	254780	Lafora disease
GHR	2690	TAS	Laron dwarfism		OMIM	262500	Laron syndrome
FLNB	2317	TAS	Larsen syndrome		OMIM	150250	Larsen syndrome
ALS2	57679	TAS	Primary lateral sclerosis, juvenile		OMIM	606353	lateral sclerosis
KCNJ13	3769	TAS	Leber congenital amaurosis 16		OMIM	614186	Leber congenital amaurosis
IMPDH1	3614	TAS	Leber congenital amaurosis 11		OMIM	613837	Leber congenital amaurosis
LCA5	167691	TAS	Leber congenital amaurosis 5		OMIM	604537	Leber congenital amaurosis
RPE65	6121	TAS	Leber congenital amaurosis 2		OMIM	204100	Leber congenital amaurosis
RPGRIP1	57096	TAS	Leber congenital amaurosis 6		OMIM	613826	Leber congenital amaurosis
CEP290	80184	TAS	Leber congenital amaurosis 10		OMIM	611755	Leber congenital amaurosis
GUCY2D	3000	TAS	Leber congenital amaurosis 1		OMIM	204000	Leber congenital amaurosis
RD3	343035	TAS	Leber congenital amaurosis 12		OMIM	610612	Leber congenital amaurosis
TULP1	7287	TAS	Leber congenital amaurosis 15		OMIM	613843	Leber congenital amaurosis
AIPL1	23746	TAS	Cone-rod dystrophy; Leber congenital amaurosis 4; Retinitis pigmentosa, juvenile		OMIM	604393	Leber congenital amaurosis
SPATA7	55812	TAS	Leber congenital amaurosis 3; Retinitis pigmentosa, juvenile, autosomal recessive		OMIM	604232	Leber congenital amaurosis
NMNAT1	64802	TAS	Leber congenital amaurosis 9		OMIM	608553	Leber congenital amaurosis
LRAT	9227	TAS	Leber congenital amaurosis 14; Retinal dystrophy, early-onset severe; Retinitis pigmentosa, juvenile		OMIM	613341	Leber congenital amaurosis
CRB1	23418	TAS	Leber congenital amaurosis 8		OMIM	613835	Leber congenital amaurosis
CRX	1406	TAS	Leber congenital amaurosis 7		OMIM	613829	Leber congenital amaurosis
COL2A1	1280	TAS	Legg-Calve-Perthes disease		OMIM	150600	Legg-Calve-Perthes Disease
PDHA1	5160	TAS	Leigh syndrome, X-linked		OMIM	308930	Leigh disease
SDHA	6389	TAS	Leigh syndrome		OMIM	256000	Leigh disease
NDUFA10	4705	TAS	Leigh syndrome		OMIM	256000	Leigh disease
NDUFA12	55967	TAS	Leigh syndrome due to mitochondrial complex 1 deficiency		OMIM	256000	Leigh disease
NDUFAF6	137682	TAS	Leigh syndrome due to mitochondrial complex I deficiency		OMIM	256000	Leigh disease
NDUFAF2	91942	TAS	Leigh syndrome		OMIM	256000	Leigh disease
NDUFS3	4722	TAS	Leigh syndrome due to mitochondrial complex I deficiency		OMIM	256000	Leigh disease
BCS1L	617	TAS	Leigh syndrome		OMIM	256000	Leigh disease
NDUFS8	4728	TAS	Leigh syndrome due to mitochondrial complex I deficiency		OMIM	256000	Leigh disease
NDUFA9	4704	TAS	Leigh syndrome due to mitochondrial complex I deficiency		OMIM	256000	Leigh disease
SURF1	6834	TAS	Leigh syndrome, due to COX deficiency		OMIM	256000	Leigh disease
NDUFS4	4724	TAS	Leigh syndrome		OMIM	256000	Leigh disease
NDUFS7	374291	TAS	Leigh syndrome		OMIM	256000	Leigh disease
COX15	1355	TAS	Leigh syndrome due to cytochrome c oxidase deficiency		OMIM	256000	Leigh disease
FOXRED1	55572	TAS	Leigh syndrome due to mitochondrial complex I deficiency		OMIM	256000	Leigh disease
NDUFA2	4695	TAS	Leigh syndrome due to mitochondrial complex I deficiency		OMIM	256000	Leigh disease
LRPPRC	10128	TAS	Leigh syndrome, French-Canadian type		OMIM	220111	Leigh disease
FH	2271	TAS	Leiomyomatosis and renal cell cancer		OMIM	150800	leiomyomatosis;renal cell carcinoma
MAPK10	5602	TAS	Epileptic encephalopathy, Lennox-Gastaut type		OMIM	606369	Lennox-Gastaut syndrome
PTPN11	5781	TAS	LEOPARD syndrome 1		OMIM	151100	LEOPARD syndrome
RAF1	5894	TAS	LEOPARD syndrome 2		OMIM	611554	LEOPARD syndrome
BRAF	673	TAS	LEOPARD syndrome 3		OMIM	613707	LEOPARD syndrome
PARK2	5071	TAS	{Leprosy, susceptibility to}		OMIM	607572	leprosy
