# Plain text terms we recognize when loading GEO data, and we map them immediately to an Ontology term
# the fields are 1. string to be matched; 2. The value 3. ValueUri 4. Category 5. CategoryUri
# Case of the string value is ignored; the category is checked against the type of variable imported, so if it doesn't match what we have here,
# it won't be mapped.
# String value	value	valueUri	category	categoryUri
Endometrioid	endometrioid tumor	http://purl.obolibrary.org/obo/MONDO_0002480	disease	http://www.ebi.ac.uk/efo/EFO_0000408
endometrium	endometrium	http://purl.obolibrary.org/obo/UBERON_0001295	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
endothelial	endothelial cell	http://purl.obolibrary.org/obo/CL_0000115	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
endothelial cell	endothelial cell	http://purl.obolibrary.org/obo/CL_0000115	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
endothelial cells	endothelial cell	http://purl.obolibrary.org/obo/CL_0000115	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Entorhinal Cortex	entorhinal cortex	http://purl.obolibrary.org/obo/UBERON_0002728	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Ependymoma brain tumor	ependymoma	http://purl.obolibrary.org/obo/MONDO_0016698	disease	http://www.ebi.ac.uk/efo/EFO_0000408
epidermis	skin epidermis	http://purl.obolibrary.org/obo/UBERON_0001003	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
epididymal adipose tissue	epididymal fat pad	http://purl.obolibrary.org/obo/UBERON_0010412	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
epididymal white adipose tissue	white adipose tissue	http://purl.obolibrary.org/obo/UBERON_0001347	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Epididymal white adipose tissue	epididymal fat pad	http://purl.obolibrary.org/obo/UBERON_0010412	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Epilepsy	epilepsy	http://purl.obolibrary.org/obo/MONDO_0005027	disease	http://www.ebi.ac.uk/efo/EFO_0000408
epithelial cells	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
epithelial cells from the inferior nasal turbinate	inferior nasal concha	http://purl.obolibrary.org/obo/UBERON_0005922	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
epithelian ovarian tumor	malignant epithelial tumor of ovary	http://purl.obolibrary.org/obo/MONDO_0018364	disease	http://www.ebi.ac.uk/efo/EFO_0000408
epithelium	epithelium	http://purl.obolibrary.org/obo/UBERON_0000483	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Epstein-Barr virus (EBV) transformed B cells	Epstein Barr virus transformed B cell	http://purl.obolibrary.org/obo/OBI_0100010	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
ER Positive	estrogen-receptor positive breast cancer	http://purl.obolibrary.org/obo/MONDO_0006512	disease	http://www.ebi.ac.uk/efo/EFO_0000408
ER-	estrogen-receptor negative breast cancer	http://purl.obolibrary.org/obo/MONDO_0006513	disease	http://www.ebi.ac.uk/efo/EFO_0000408
ER(-)	estrogen-receptor negative breast cancer	http://purl.obolibrary.org/obo/MONDO_0006513	disease	http://www.ebi.ac.uk/efo/EFO_0000408
ER+	estrogen-receptor positive breast cancer	http://purl.obolibrary.org/obo/MONDO_0006512	disease	http://www.ebi.ac.uk/efo/EFO_0000408
ERneg	estrogen-receptor negative breast cancer	http://purl.obolibrary.org/obo/MONDO_0006513	disease	http://www.ebi.ac.uk/efo/EFO_0000408
ERpos	estrogen-receptor positive breast cancer	http://purl.obolibrary.org/obo/MONDO_0006512	disease	http://www.ebi.ac.uk/efo/EFO_0000408
ES cell	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
ES cell culture	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
ES cells	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
ES-derived neural progenitor cells	neural progenitor cell	http://purl.obolibrary.org/obo/CL_0011020	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
ESC	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
esophageal squamous cell carcinoma	esophageal squamous cell carcinoma	http://purl.obolibrary.org/obo/MONDO_0005580	disease	http://www.ebi.ac.uk/efo/EFO_0000408
esophagus	esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
esphageal squamous cell carcinoma	esophageal squamous cell carcinoma	http://purl.obolibrary.org/obo/MONDO_0005580	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Ethanol	ethanol	http://purl.obolibrary.org/obo/CHEBI_16236	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
EtOH	ethanol	http://purl.obolibrary.org/obo/CHEBI_16236	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
European	European	http://purl.obolibrary.org/obo/HANCESTRO_0005	population	http://purl.obolibrary.org/obo/OBI_0000181
ex-vivo Liver	liver	http://purl.obolibrary.org/obo/UBERON_0002107	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Exercise	exercise	http://www.ebi.ac.uk/efo/EFO_0000483	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
exercised	exercise	http://www.ebi.ac.uk/efo/EFO_0000483	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
extracellular vesicles	extracellular vesicle	http://purl.obolibrary.org/obo/GO_1903561	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Extracellular vesicles derived from plasma	extracellular vesicle	http://purl.obolibrary.org/obo/GO_1903561	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
extraembryonic placenta	placenta	http://purl.obolibrary.org/obo/UBERON_0001987	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Extremities sarcoma	sarcoma	http://purl.obolibrary.org/obo/MONDO_0005089	disease	http://www.ebi.ac.uk/efo/EFO_0000408
eye	eye	http://purl.obolibrary.org/obo/UBERON_0000970	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
F	female	http://purl.obolibrary.org/obo/PATO_0000383	biological sex	http://purl.obolibrary.org/obo/PATO_0000047
F344	Fischer 344	http://www.ebi.ac.uk/efo/EFO_0000176	strain	http://www.ebi.ac.uk/efo/EFO_0005135
F344/NCrl	Fischer 344	http://www.ebi.ac.uk/efo/EFO_0000176	strain	http://www.ebi.ac.uk/efo/EFO_0005135
FEM	female	http://purl.obolibrary.org/obo/PATO_0000383	biological sex	http://purl.obolibrary.org/obo/PATO_0000047
female	female	http://purl.obolibrary.org/obo/PATO_0000383	biological sex	http://purl.obolibrary.org/obo/PATO_0000047
females	female	http://purl.obolibrary.org/obo/PATO_0000383	biological sex	http://purl.obolibrary.org/obo/PATO_0000047
Femur	femur	http://purl.obolibrary.org/obo/UBERON_0000981	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
fetal brain	brain	http://purl.obolibrary.org/obo/UBERON_0000955	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
fetal brain tissue	brain	http://purl.obolibrary.org/obo/UBERON_0000955	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
fetal liver	liver	http://purl.obolibrary.org/obo/UBERON_0002107	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Fetal pituitary	pituitary gland	http://purl.obolibrary.org/obo/UBERON_0000007	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Fetal testis	testis	http://purl.obolibrary.org/obo/UBERON_0000473	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
fetus	late embryonic stage	http://purl.obolibrary.org/obo/UBERON_0007220	developmental stage	http://www.ebi.ac.uk/efo/EFO_0000399
FFPE	FFPE specimen	http://purl.obolibrary.org/obo/OBI_1200000	collection of material	http://www.ebi.ac.uk/efo/EFO_0005066
FFPE Gastric Adenocarcinoma	gastric adenocarcinoma	http://purl.obolibrary.org/obo/MONDO_0005036	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Fibroblast	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
fibroblasts	fibroblast	http://purl.obolibrary.org/obo/CL_0000057	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
First lower molar	lower first primary molar tooth	http://purl.obolibrary.org/obo/UBERON_0018589	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Fischer 344	Fischer 344	http://www.ebi.ac.uk/efo/EFO_0000176	strain	http://www.ebi.ac.uk/efo/EFO_0005135
Fisher 344	Fischer 344	http://www.ebi.ac.uk/efo/EFO_0000176	strain	http://www.ebi.ac.uk/efo/EFO_0005135
Fluoxetine	fluoxetine	http://purl.obolibrary.org/obo/CHEBI_5118	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
follicular lymphoma tumor	follicular lymphoma	http://purl.obolibrary.org/obo/MONDO_0018906	disease	http://www.ebi.ac.uk/efo/EFO_0000408
forebrain	forebrain	http://purl.obolibrary.org/obo/UBERON_0001890	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Forebrain tissue	forebrain	http://purl.obolibrary.org/obo/UBERON_0001890	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
foreskin	prepuce of penis	http://purl.obolibrary.org/obo/UBERON_0001332	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
formaldehyde	formaldehyde	http://purl.obolibrary.org/obo/CHEBI_16842	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
fresh frozen laryngeal tumor	larynx cancer	http://purl.obolibrary.org/obo/MONDO_0002352	disease	http://www.ebi.ac.uk/efo/EFO_0000408
fresh/frozen lymphoma tissue	lymphoma	http://purl.obolibrary.org/obo/MONDO_0005062	disease	http://www.ebi.ac.uk/efo/EFO_0000408
freshly frozen lymph nodes	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
frontal cortex	frontal cortex	http://purl.obolibrary.org/obo/UBERON_0001870	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
frontal lobe	frontal lobe	http://purl.obolibrary.org/obo/UBERON_0016525	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
frontal_cortex	frontal cortex	http://purl.obolibrary.org/obo/UBERON_0001870	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
frozen breast tissue	breast	http://purl.obolibrary.org/obo/UBERON_0000310	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
frozen tissue of ovarian tumors	ovarian cancer	http://purl.obolibrary.org/obo/MONDO_0008170	disease	http://www.ebi.ac.uk/efo/EFO_0000408
frozen tissue of primary breast tumors	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	disease	http://www.ebi.ac.uk/efo/EFO_0000408
frozen tissue of primary lung tumor	lung cancer	http://purl.obolibrary.org/obo/MONDO_0008903	disease	http://www.ebi.ac.uk/efo/EFO_0000408
frozen tissue of primary lung tumors	lung cancer	http://purl.obolibrary.org/obo/MONDO_0008903	disease	http://www.ebi.ac.uk/efo/EFO_0000408
full-thickness colon	colon	http://purl.obolibrary.org/obo/UBERON_0001155	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
fusiform gyrus	fusiform gyrus	http://purl.obolibrary.org/obo/UBERON_0002766	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
FVB	FVB	http://www.ebi.ac.uk/efo/EFO_0022483	strain	http://www.ebi.ac.uk/efo/EFO_0005135
FVB/N	FVB/N	http://www.ebi.ac.uk/efo/EFO_0022467	strain	http://www.ebi.ac.uk/efo/EFO_0005135
fvb/nj	FVB/NJ	http://www.ebi.ac.uk/efo/EFO_0007728	strain	http://www.ebi.ac.uk/efo/EFO_0005135
gactrocnemius muscle	gastrocnemius	http://purl.obolibrary.org/obo/UBERON_0001388	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
gastric adenocarcinoma	gastric adenocarcinoma	http://purl.obolibrary.org/obo/MONDO_0005036	disease	http://www.ebi.ac.uk/efo/EFO_0000408
gastric cancer	gastric cancer	http://purl.obolibrary.org/obo/MONDO_0001056	disease	http://www.ebi.ac.uk/efo/EFO_0000408
gastric cancer tissue	gastric cancer	http://purl.obolibrary.org/obo/MONDO_0001056	disease	http://www.ebi.ac.uk/efo/EFO_0000408
gastric tumor tissue	gastric neoplasm	http://purl.obolibrary.org/obo/MONDO_0021085	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Gastrocnemius	gastrocnemius	http://purl.obolibrary.org/obo/UBERON_0001388	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
gastrocnemius muscle	gastrocnemius	http://purl.obolibrary.org/obo/UBERON_0001388	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
GBM	glioblastoma	http://purl.obolibrary.org/obo/MONDO_0018177	disease	http://www.ebi.ac.uk/efo/EFO_0000408
GBM Tissue	glioblastoma	http://purl.obolibrary.org/obo/MONDO_0018177	disease	http://www.ebi.ac.uk/efo/EFO_0000408
GENDER_male	male	http://purl.obolibrary.org/obo/PATO_0000384	biological sex	http://purl.obolibrary.org/obo/PATO_0000047
genistein	genistein	http://purl.obolibrary.org/obo/CHEBI_28088	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
Germ cell tumor	germ cell tumor	http://purl.obolibrary.org/obo/MONDO_0005040	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Gingival	gingiva	http://purl.obolibrary.org/obo/UBERON_0001828	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
GIST Tumor	gastrointestinal stromal tumor	http://purl.obolibrary.org/obo/MONDO_0011719	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Glioblastoma	glioblastoma	http://purl.obolibrary.org/obo/MONDO_0018177	disease	http://www.ebi.ac.uk/efo/EFO_0000408
glioblastoma cells	glioblastoma	http://purl.obolibrary.org/obo/MONDO_0018177	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Glioblastoma multiforme	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Glioblastoma multiforme	glioblastoma	http://purl.obolibrary.org/obo/MONDO_0018177	disease	http://www.ebi.ac.uk/efo/EFO_0000408
glioma	malignant glioma	http://purl.obolibrary.org/obo/MONDO_0100342	disease	http://www.ebi.ac.uk/efo/EFO_0000408
gonadal white adipose tissue	gonadal fat pad	http://purl.obolibrary.org/obo/UBERON_0003428	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
granule cell	granule cell	http://purl.obolibrary.org/obo/CL_0000120	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Grey Matter	gray matter	http://purl.obolibrary.org/obo/UBERON_0002020	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
ground control	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	treatment	http://www.ebi.ac.uk/efo/EFO_0000727
H1N1	swine influenza	http://purl.obolibrary.org/obo/MONDO_0005460	disease	http://www.ebi.ac.uk/efo/EFO_0000408
H9	H9	http://www.ebi.ac.uk/efo/EFO_0003045	cell line	http://purl.obolibrary.org/obo/CLO_0000031
H9	H9 ES cell	http://purl.obolibrary.org/obo/CLO_0037313	cell line	http://purl.obolibrary.org/obo/CLO_0000031
H9 hESC	H9 cell	http://purl.obolibrary.org/obo/CLO_0003612	cell line	http://purl.obolibrary.org/obo/CLO_0000031
hair follicle	hair follicle	http://purl.obolibrary.org/obo/UBERON_0002073	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
HapMap CEU	European	http://purl.obolibrary.org/obo/HANCESTRO_0005	population	http://purl.obolibrary.org/obo/OBI_0000181
HBV positive Hepatocellular Carcinoma (HCC)	hepatitis B virus induced hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0008503	disease	http://www.ebi.ac.uk/efo/EFO_0000408
HC	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	disease	http://www.ebi.ac.uk/efo/EFO_0000408
HCT-116	HCT 116 cell	http://purl.obolibrary.org/obo/CLO_0003665	cell line	http://purl.obolibrary.org/obo/CLO_0000031
HCT116	HCT 116 cell	http://purl.obolibrary.org/obo/CLO_0003665	cell line	http://purl.obolibrary.org/obo/CLO_0000031
HCV-infected	hepatitis C virus infection	http://purl.obolibrary.org/obo/MONDO_0005231	disease	http://www.ebi.ac.uk/efo/EFO_0000408
head	head	http://purl.obolibrary.org/obo/UBERON_0000033	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
head and neck squamous cell carcinoma	head and neck squamous cell carcinoma	http://purl.obolibrary.org/obo/MONDO_0010150	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Healthy	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Healthy control	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	disease	http://www.ebi.ac.uk/efo/EFO_0000408
healthy control	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Healthy controls	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	disease	http://www.ebi.ac.uk/efo/EFO_0000408
healthy donor	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	disease	http://www.ebi.ac.uk/efo/EFO_0000408
healthy subject	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Healthy volunteer	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	disease	http://www.ebi.ac.uk/efo/EFO_0000408
healthy volunteers	reference subject role	http://purl.obolibrary.org/obo/OBI_0000220	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Heart	heart	http://purl.obolibrary.org/obo/UBERON_0000948	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
heart left ventricle	cardiac ventricle	http://purl.obolibrary.org/obo/UBERON_0002082	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Heart tissue	heart	http://purl.obolibrary.org/obo/UBERON_0000948	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
HEK293	HEK293	http://purl.obolibrary.org/obo/CLO_0001230	cell line	http://purl.obolibrary.org/obo/CLO_0000031
HEK293T	HEK293T cell	http://purl.obolibrary.org/obo/CLO_0037372	cell line	http://purl.obolibrary.org/obo/CLO_0000031
HeLa	HeLa cell	http://purl.obolibrary.org/obo/CLO_0003684	cell line	http://purl.obolibrary.org/obo/CLO_0000031
Hela cells	HeLa cell	http://purl.obolibrary.org/obo/CLO_0003684	cell line	http://purl.obolibrary.org/obo/CLO_0000031
hematoma	hematoma	http://www.ebi.ac.uk/efo/EFO_0010680	phenotype	http://www.ebi.ac.uk/efo/EFO_0000651
Hematopoietic stem cells	hematopoietic stem cell	http://purl.obolibrary.org/obo/CL_0000037	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Hematopoietic System	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
hepatocellular carcinoma	hepatocellular carcinoma	http://purl.obolibrary.org/obo/MONDO_0007256	disease	http://www.ebi.ac.uk/efo/EFO_0000408
hepatocellular carcinoma (HCC)	hepatocellular carcinoma	http://purl.obolibrary.org/obo/MONDO_0007256	disease	http://www.ebi.ac.uk/efo/EFO_0000408
hepatocyte	hepatocyte	http://purl.obolibrary.org/obo/CL_0000182	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
hepatocytes	hepatocyte	http://purl.obolibrary.org/obo/CL_0000182	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
HepG2	Hep G2 cell	http://purl.obolibrary.org/obo/CLO_0003704	cell line	http://purl.obolibrary.org/obo/CLO_0000031
HepG2 cells	Hep G2 cell	http://purl.obolibrary.org/obo/CLO_0003704	cell line	http://purl.obolibrary.org/obo/CLO_0000031
hermaphrodite	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	biological sex	http://purl.obolibrary.org/obo/PATO_0000047
hESC	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
hESCs	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
HFD	high fat diet	http://www.ebi.ac.uk/efo/EFO_0002757	diet	http://www.ebi.ac.uk/efo/EFO_0002755
High Drinker	alcohol abuse	http://purl.obolibrary.org/obo/MONDO_0002046	disease	http://www.ebi.ac.uk/efo/EFO_0000408
high fat	high fat diet	http://www.ebi.ac.uk/efo/EFO_0002757	diet	http://www.ebi.ac.uk/efo/EFO_0002755
high fat diet	high fat diet	http://www.ebi.ac.uk/efo/EFO_0002757	diet	http://www.ebi.ac.uk/efo/EFO_0002755
High-fat diet	high fat diet	http://www.ebi.ac.uk/efo/EFO_0002757	diet	http://www.ebi.ac.uk/efo/EFO_0002755
hindbrain	hindbrain	http://purl.obolibrary.org/obo/UBERON_0002028	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
hip	hip	http://purl.obolibrary.org/obo/UBERON_0001464	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Hippocampal CA1	CA1 field of hippocampus	http://purl.obolibrary.org/obo/UBERON_0003881	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
hippocampal formation	hippocampal formation	http://purl.obolibrary.org/obo/UBERON_0002421	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
hippocampal neurons	hippocampal neuron	http://purl.obolibrary.org/obo/CL_0002608	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Hippocampal slice	Ammon's horn	http://purl.obolibrary.org/obo/UBERON_0001954	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
hippocampal tissue	Ammon's horn	http://purl.obolibrary.org/obo/UBERON_0001954	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Hippocampus	Ammon's horn	http://purl.obolibrary.org/obo/UBERON_0001954	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
hippocampus (CA1 region)	CA1 field of hippocampus	http://purl.obolibrary.org/obo/UBERON_0003881	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Hippocampus CA1 area	CA1 field of hippocampus	http://purl.obolibrary.org/obo/UBERON_0003881	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
hiPSC	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	cell line	http://purl.obolibrary.org/obo/CLO_0000031
hispanic	Hispanic or Latin American	http://purl.obolibrary.org/obo/HANCESTRO_0014	population	http://purl.obolibrary.org/obo/OBI_0000181
Hispanic or Latino	Hispanic or Latin American	http://purl.obolibrary.org/obo/HANCESTRO_0014	population	http://purl.obolibrary.org/obo/OBI_0000181
HIV	HIV infectious disease	http://purl.obolibrary.org/obo/MONDO_0005109	disease	http://www.ebi.ac.uk/efo/EFO_0000408
HIV infected individuals	HIV infectious disease	http://purl.obolibrary.org/obo/MONDO_0005109	disease	http://www.ebi.ac.uk/efo/EFO_0000408
HIV positive	HIV infectious disease	http://purl.obolibrary.org/obo/MONDO_0005109	disease	http://www.ebi.ac.uk/efo/EFO_0000408
HMEC	HMEC	http://www.ebi.ac.uk/efo/EFO_0001188	cell line	http://purl.obolibrary.org/obo/CLO_0000031
Hodgkin's Lymphoma	Hodgkins lymphoma	http://purl.obolibrary.org/obo/MONDO_0004952	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Homo sapiens;tissue: blood cells	blood cell	http://purl.obolibrary.org/obo/CL_0000081	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
HSC	hematopoietic stem cell	http://purl.obolibrary.org/obo/CL_0000037	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Huh7	Huh7 cell	http://purl.obolibrary.org/obo/CLO_0009989	cell line	http://purl.obolibrary.org/obo/CLO_0000031
human adipose tissue	adipose tissue	http://purl.obolibrary.org/obo/UBERON_0001013	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
human airway smooth muscle cells	respiratory system smooth muscle	http://purl.obolibrary.org/obo/UBERON_0004225	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Human Brain	brain	http://purl.obolibrary.org/obo/UBERON_0000955	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Human Brain (BA10)	Brodmann (1909) area 10	http://purl.obolibrary.org/obo/UBERON_0013541	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Human Brain Tissue: Purkinje Cells	Purkinje cell	http://purl.obolibrary.org/obo/CL_0000121	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Human Breast	breast	http://purl.obolibrary.org/obo/UBERON_0000310	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
human breast cancer	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	disease	http://www.ebi.ac.uk/efo/EFO_0000408
human breast cancer tumors	breast cancer	http://purl.obolibrary.org/obo/MONDO_0007254	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Human Breast tissue	breast	http://purl.obolibrary.org/obo/UBERON_0000310	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
human breast tumor	breast neoplasm	http://purl.obolibrary.org/obo/MONDO_0021100	disease	http://www.ebi.ac.uk/efo/EFO_0000408
Human Bronchial Epithelial Cells	bronchial epithelial cell	http://purl.obolibrary.org/obo/CL_0002328	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Human bronchial epithelial cells (HBE)	bronchial epithelial cell	http://purl.obolibrary.org/obo/CL_0002328	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
human cancer cell line	cancer cell line	http://www.ebi.ac.uk/efo/EFO_0001639	cell line	http://purl.obolibrary.org/obo/CLO_0000031
Human cell line	immortal human cell line cell	http://purl.obolibrary.org/obo/CLO_0000020	cell line	http://purl.obolibrary.org/obo/CLO_0000031
human colon	colon	http://purl.obolibrary.org/obo/UBERON_0001155	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Human cord blood	umbilical cord blood	http://purl.obolibrary.org/obo/UBERON_0012168	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
human cord blood derived T cells	T cell	http://purl.obolibrary.org/obo/CL_0000084	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Human cranial neural crest cells	cranial neural crest	http://purl.obolibrary.org/obo/UBERON_0003099	organism part	http://www.ebi.ac.uk/efo/EFO_0000635
Human dendritic cells	dendritic cell, human	http://purl.obolibrary.org/obo/CL_0001056	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Human Dermal Fibroblast	skin fibroblast	http://purl.obolibrary.org/obo/CL_0002620	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Human Embryonic Stem cell	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Human embryonic stem cells	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
Human hepatocellular carcinoma	hepatocellular carcinoma	http://purl.obolibrary.org/obo/MONDO_0007256	disease	http://www.ebi.ac.uk/efo/EFO_0000408
human induced pluripotent stem cells	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	cell line	http://purl.obolibrary.org/obo/CLO_0000031
Human intrahepatic cholangiocarcinoma	intrahepatic cholangiocarcinoma	http://purl.obolibrary.org/obo/MONDO_0003210	disease	http://www.ebi.ac.uk/efo/EFO_0000408
human iPSC derived cell	induced pluripotent stem cell line cell	http://purl.obolibrary.org/obo/CLO_0037307	cell line	http://purl.obolibrary.org/obo/CLO_0000031
human leukocytes	leukocyte	http://purl.obolibrary.org/obo/CL_0000738	cell type	http://www.ebi.ac.uk/efo/EFO_0000324
