Identifier (KEY)	Phenotype valueUri (THE KEY MAP TO THIS)	Phenotype value 	Description use in annotator 	How we found the mapping	Source
MESH:C567714	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, Autosomal Recessive 13	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C567725	http://purl.obolibrary.org/obo/DOID_12930	dilated cardiomyopathy	Cardiomyopathy, Dilated, 1DD	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567728	http://purl.obolibrary.org/obo/DOID_0050589	inflammatory bowel disease	Inflammatory Bowel Disease 28, Autosomal Recessive	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567732	http://purl.obolibrary.org/obo/DOID_0050451	Brugada syndrome	Brugada Syndrome 8	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567733	http://purl.obolibrary.org/obo/DOID_12930	dilated cardiomyopathy	Cardiomyopathy, Dilated, 1CC	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567734	http://purl.obolibrary.org/obo/DOID_0050451	Brugada syndrome	Brugada Syndrome 7	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567735	http://purl.obolibrary.org/obo/DOID_0050451	Brugada syndrome	Brugada Syndrome 6	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567738	http://purl.obolibrary.org/obo/DOID_0050548	hereditary sensory neuropathy	Neuropathy, Hereditary Sensory And Autonomic, Type IIB	Case 5: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C567753	http://purl.obolibrary.org/obo/DOID_1067	open-angle glaucoma	Glaucoma 1, Open Angle, O	Case 5: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C567755	http://purl.obolibrary.org/obo/DOID_0050591	tooth agenesis	Tooth Agenesis, Selective, 6	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C567757	http://purl.obolibrary.org/obo/DOID_10629	microphthalmia	Microphthalmia, Isolated 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567761	http://purl.obolibrary.org/obo/DOID_0050592	asphyxiating thoracic dystrophy	Asphyxiating Thoracic Dystrophy 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567764	http://purl.obolibrary.org/obo/DOID_1882	atrial heart septal defect	Atrial Septal Defect 6	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C567779	http://purl.obolibrary.org/obo/DOID_1508	candidiasis	Candidiasis, Familial, 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567782	http://purl.obolibrary.org/obo/DOID_0050638	transthyretin amyloidosis	Amyloidosis, Hereditary, Transthyretin-Related	Case 5a: Found Synonym With Disease Annotator Synonym	CTD
MESH:C567796	http://purl.obolibrary.org/obo/DOID_3310	atopic dermatitis	Dermatitis, Atopic, 7	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567802	http://purl.obolibrary.org/obo/DOID_0050650	familial atrial fibrillation	Atrial Fibrillation, Familial, 8	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567809	http://purl.obolibrary.org/obo/DOID_2747	glycogen storage disease	Glycogen Storage Disease IXC	Case 4: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567816	http://purl.obolibrary.org/obo/DOID_12236	primary biliary cirrhosis	Biliary Cirrhosis, Primary, 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567817	http://purl.obolibrary.org/obo/DOID_12236	primary biliary cirrhosis	Biliary Cirrhosis, Primary, 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567818	http://purl.obolibrary.org/obo/DOID_9744	type 1 diabetes mellitus	Diabetes Mellitus, Insulin-Dependent, 24	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C567833	http://purl.obolibrary.org/obo/DOID_5723	optic atrophy	Optic Atrophy 7	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567835	http://purl.obolibrary.org/obo/DOID_83	cataract	Cataract, Autosomal Recessive Congenital 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567838	http://purl.obolibrary.org/obo/DOID_5426	premature ovarian failure	Premature Ovarian Failure 7	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567842	http://purl.obolibrary.org/obo/DOID_2843	long QT syndrome	Long Qt Syndrome 12	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567853	http://purl.obolibrary.org/obo/DOID_10970	spastic quadriplegia	Cerebral Palsy, Spastic Quadriplegic, 1	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C567854	http://purl.obolibrary.org/obo/DOID_10584	retinitis pigmentosa	Retinitis Pigmentosa 42	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567859	http://purl.obolibrary.org/obo/DOID_2747	glycogen storage disease	Glycogen Storage Disease XIV	Case 4: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567861	http://purl.obolibrary.org/obo/DOID_2747	glycogen storage disease	Glycogen Storage Disease XIII	Case 4: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567867	http://purl.obolibrary.org/obo/DOID_10970	spastic quadriplegia	Cerebral Palsy, Spastic Quadriplegic, 2	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C567877	http://purl.obolibrary.org/obo/DOID_12930	dilated cardiomyopathy	Cardiomyopathy, Dilated, 1BB	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C567885	http://purl.obolibrary.org/obo/DOID_0050548	hereditary sensory neuropathy	Neuropathy, Hereditary Sensory And Autonomic, Type IIA	Case 5: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C567906	http://purl.obolibrary.org/obo/HP_0001249	Intellectual disability	Mental Retardation, X-Linked 1	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:C567930	http://purl.obolibrary.org/obo/HP_0001258	Spastic paraplegia	Spastic Paraplegia 36, Autosomal Dominant	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C567931	http://purl.obolibrary.org/obo/HP_0001258	Spastic paraplegia	Spastic Paraplegia 37, Autosomal Dominant	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C572568	http://purl.obolibrary.org/obo/DOID_0050419	complement factor I deficiency	Complement Factor I Deficiency	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C575214	http://purl.obolibrary.org/obo/DOID_1441	spinocerebellar ataxia	Spinocerebellar ataxia 30	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C575534	http://purl.obolibrary.org/obo/DOID_14503	neuronal ceroid lipofuscinosis	Ceroid lipofuscinosis, neuronal 5	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:D000022	http://purl.obolibrary.org/obo/HP_0005268	Spontaneous abortion	Abortion, Spontaneous	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:D000037	http://purl.obolibrary.org/obo/DOID_9667	placental abruption	Abruptio Placentae	Case 5a: Found Synonym With Disease Annotator Synonym	CTD
MESH:D000138	http://purl.obolibrary.org/obo/HP_0001941	Acidosis	Acidosis	Case 6a: Found Exact With HP Annotator	CTD
MESH:D000309	http://purl.obolibrary.org/obo/HP_0000846	Adrenal insufficiency	Adrenal Insufficiency	Case 6a: Found Exact With HP Annotator	CTD
MESH:D000312	http://purl.obolibrary.org/obo/HP_0008258	Congenital adrenal hyperplasia	Adrenal Hyperplasia, Congenital	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:D000326	http://purl.obolibrary.org/obo/DOID_10588	adrenoleukodystrophy	Adrenoleukodystrophy		CTD
MESH:D000471	http://purl.obolibrary.org/obo/HP_0001948	Alkalosis	Alkalosis	Case 6a: Found Exact With HP Annotator	CTD
MESH:D000474	http://purl.obolibrary.org/obo/DOID_9270	alkaptonuria	Alkaptonuria		CTD
MESH:D000690	http://purl.obolibrary.org/obo/DOID_332	amyotrophic lateral sclerosis	Amyotrophic Lateral Sclerosis		CTD
MESH:D000753	http://purl.obolibrary.org/obo/DOID_2355	anemia	"Anemia, Refractory"		CTD
MESH:D000757	http://purl.obolibrary.org/obo/HP_0002323	Anencephaly	Anencephaly	Case 6a: Found Exact With HP Annotator	CTD
MESH:D000787	http://purl.obolibrary.org/obo/HP_0001681	Angina pectoris	Angina Pectoris	Case 6a: Found Exact With HP Annotator	CTD
MESH:D000855	http://purl.obolibrary.org/obo/HP_0002039	Anorexia	Anorexia	Case 6a: Found Exact With HP Annotator	CTD
MESH:D001037	http://purl.obolibrary.org/obo/DOID_0060046	aphasia	Aphasia	Case 4a: Found Exact With Disease Annotator	CTD
MESH:D001037	http://purl.obolibrary.org/obo/DOID_0060046	aphasia	Aphasia		CTD
MESH:D001049	http://purl.obolibrary.org/obo/HP_0002104	Apnea	Apnea	Case 6a: Found Exact With HP Annotator	CTD
MESH:D001139	http://purl.obolibrary.org/obo/HP_0002308	Arnold-Chiari malformation	Arnold-Chiari Malformation	Case 6a: Found Exact With HP Annotator	CTD
MESH:D001145	http://purl.obolibrary.org/obo/HP_0011675	Arrhythmia	Arrhythmias, Cardiac	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:D001167	http://purl.obolibrary.org/obo/HP_0012089	Arteritis	Arteritis	Case 6a: Found Exact With HP Annotator	CTD
MESH:D001169	http://purl.obolibrary.org/obo/DOID_848	arthritis	"Arthritis, Experimental"		CTD
MESH:D001171	http://purl.obolibrary.org/obo/DOID_676	juvenile rheumatoid arthritis	Arthritis, Juvenile Rheumatoid	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:D001171	http://purl.obolibrary.org/obo/DOID_676	juvenile rheumatoid arthritis	"Arthritis, Juvenile Rheumatoid"		CTD
MESH:D001176	http://purl.obolibrary.org/obo/HP_0002804	Arthrogryposis multiplex congenita	Arthrogryposis	Case 7a: Found Synonym With HP Annotator Synonym	CTD
MESH:D001201	http://purl.obolibrary.org/obo/HP_0001541	Ascites	Ascites	Case 6a: Found Exact With HP Annotator	CTD
MESH:D001250	http://purl.obolibrary.org/obo/DOID_9360	intrinsic asthma	"Asthma, Exercise-Induced"		CTD
MESH:D001259	http://purl.obolibrary.org/obo/HP_0001251	Ataxia	Ataxia	Case 6a: Found Exact With HP Annotator	CTD
MESH:D001281	http://purl.obolibrary.org/obo/HP_0005110	Atrial fibrillation	Atrial Fibrillation	Case 6a: Found Exact With HP Annotator	CTD
MESH:D001416	http://purl.obolibrary.org/obo/HP_0003418	Back pain	Back Pain	Case 6a: Found Exact With HP Annotator	CTD
MESH:D001506	http://purl.obolibrary.org/obo/DOID_5572	Beckwith-Wiedemann syndrome	Beckwith-Wiedemann Syndrome		CTD
MESH:D001606	http://purl.obolibrary.org/obo/DOID_2217	Bernard-Soulier syndrome	Bernard-Soulier Syndrome		CTD
MESH:D001766	http://purl.obolibrary.org/obo/DOID_1432	blindness	Blindness	Case 4a: Found Exact With Disease Annotator	CTD
MESH:D001766	http://purl.obolibrary.org/obo/DOID_1432	blindness	Blindness		CTD
MESH:D001919	http://purl.obolibrary.org/obo/HP_0001662	Bradycardia	Bradycardia	Case 6a: Found Exact With HP Annotator	CTD
MESH:D001990	http://purl.obolibrary.org/obo/DOID_2942	bronchiolitis	"Bronchiolitis, Viral"		CTD
MESH:D002100	http://purl.obolibrary.org/obo/HP_0004326	Cachexia	Cachexia	Case 6a: Found Exact With HP Annotator	CTD
MESH:D002277	http://purl.obolibrary.org/obo/DOID_305	carcinoma	Carcinoma	Case 4: Found Exact With Disease Annotator	CTD
MESH:D002349	http://purl.obolibrary.org/obo/DOID_12169	carpal tunnel syndrome	Carpal Tunnel Syndrome		CTD
MESH:D002446	http://purl.obolibrary.org/obo/DOID_10608	celiac disease	Celiac Disease		CTD
MESH:D002524	http://purl.obolibrary.org/obo/DOID_0050753	cerebellar ataxia	Cerebellar Ataxia	Case 4a: Found Exact With Disease Annotator	CTD
MESH:D002542	http://purl.obolibrary.org/obo/DOID_4372	intracranial embolism	Intracranial Embolism and Thrombosis		CTD
MESH:D002542	http://purl.obolibrary.org/obo/DOID_4193	intracranial thrombosis	Intracranial Embolism and Thrombosis		CTD
MESH:D002543	http://purl.obolibrary.org/obo/HP_0001342	Cerebral hemorrhage	Cerebral Hemorrhage	Case 6a: Found Exact With HP Annotator	CTD
MESH:D002607	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth Disease		CTD
MESH:D002609	http://purl.obolibrary.org/obo/DOID_2935	Chediak-Higashi syndrome	Chediak-Higashi Syndrome		CTD
MESH:D002637	http://purl.obolibrary.org/obo/HP_0100749	Chest pain	Chest Pain	Case 6a: Found Exact With HP Annotator	CTD
MESH:D002819	http://purl.obolibrary.org/obo/HP_0002072	Chorea	Chorea	Case 6a: Found Exact With HP Annotator	CTD
MESH:D002820	http://purl.obolibrary.org/obo/DOID_3590	gestational trophoblastic neoplasm	"Hydatidiform Mole, Invasive"		CTD
MESH:D002821	http://purl.obolibrary.org/obo/DOID_0050697	chorioamnionitis	Chorioamnionitis	Case 4a: Found Exact With Disease Annotator	CTD
MESH:D003092	http://purl.obolibrary.org/obo/HP_0002583	Colitis	Colitis	Case 6a: Found Exact With HP Annotator	CTD
MESH:D003128	http://purl.obolibrary.org/obo/HP_0001259	Coma	Coma	Case 6a: Found Exact With HP Annotator	CTD
MESH:D003286	http://purl.obolibrary.org/obo/HP_0001371	Flexion contracture	Contracture	Case 7a: Found Synonym With HP Annotator Synonym	CTD
MESH:D003294	http://purl.obolibrary.org/obo/HP_0002373	Febrile seizures	Seizures, Febrile	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:D003318	http://purl.obolibrary.org/obo/HP_0007759	Opacification of the corneal stroma	Corneal Opacity	Case 7a: Found Synonym With HP Annotator Synonym	CTD
MESH:D003410	http://purl.obolibrary.org/obo/DOID_12580	Cri-Du-Chat syndrome	Cri-du-Chat Syndrome		CTD
MESH:D003424	http://purl.obolibrary.org/obo/DOID_8778	Crohn's disease	Crohn Disease		CTD
MESH:D003490	http://purl.obolibrary.org/obo/HP_0000961	Cyanosis	Cyanosis	Case 6a: Found Exact With HP Annotator	CTD
MESH:D003616	http://purl.obolibrary.org/obo/DOID_2785	Dandy-Walker syndrome	Dandy-Walker Syndrome		CTD
MESH:D003638	http://purl.obolibrary.org/obo/HP_0000365	Hearing impairment	Deafness	Case 7a: Found Synonym With HP Annotator Synonym	CTD
MESH:D003643	http://purl.obolibrary.org/obo/HP_0011420	Death	Death	Case 6a: Found Exact With HP Annotator	CTD
MESH:D003645	http://purl.obolibrary.org/obo/HP_0001699	Sudden death	Death, Sudden	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:D003681	http://purl.obolibrary.org/obo/HP_0001944	Dehydration	Dehydration	Case 6a: Found Exact With HP Annotator	CTD
MESH:D003865	http://purl.obolibrary.org/obo/DOID_1470	major depressive disorder	Depressive Disorder, Major	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:D003921	http://purl.obolibrary.org/obo/DOID_9351	diabetes mellitus	"Diabetes Mellitus, Experimental"		CTD
MESH:D004062	http://purl.obolibrary.org/obo/DOID_11198	DiGeorge syndrome	DiGeorge Syndrome		CTD
MESH:D004198	http://purl.obolibrary.org/obo/DOID_4	disease	Disease Susceptibility	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:D004314	http://purl.obolibrary.org/obo/DOID_14250	Down syndrome	Down Syndrome		CTD
MESH:D004342	http://purl.obolibrary.org/obo/DOID_1205	hypersensitivity reaction type I disease	Drug Hypersensitivity		CTD
MESH:D004370	http://purl.obolibrary.org/obo/DOID_12557	Duane retraction syndrome	Duane Retraction Syndrome		CTD
MESH:D004387	http://purl.obolibrary.org/obo/HP_0005679	Dupuytren contracture	Dupuytren Contracture	Case 6a: Found Exact With HP Annotator	CTD
MESH:D004392	http://purl.obolibrary.org/obo/HP_0003510	Severe short stature	Dwarfism	Case 7a: Found Synonym With HP Annotator Synonym	CTD
MESH:D004393	http://purl.obolibrary.org/obo/HP_0000839	Pituitary dwarfism	Dwarfism, Pituitary	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:D004401	http://purl.obolibrary.org/obo/HP_0001260	Dysarthria	Dysarthria	Case 6a: Found Exact With HP Annotator	CTD
MESH:D004412	http://purl.obolibrary.org/obo/HP_0100607	Dysmenorrhea	Dysmenorrhea	Case 6a: Found Exact With HP Annotator	CTD
MESH:D004417	http://purl.obolibrary.org/obo/HP_0002094	Dyspnea	Dyspnea	Case 6a: Found Exact With HP Annotator	CTD
MESH:D004444	http://purl.obolibrary.org/obo/DOID_1496	echinococcosis	"Echinococcosis, Hepatic"		CTD
MESH:D004479	http://purl.obolibrary.org/obo/HP_0001083	Ectopia lentis	Ectopia Lentis	Case 6a: Found Exact With HP Annotator	CTD
MESH:D004485	http://purl.obolibrary.org/obo/HP_0000964	Eczema	Eczema	Case 6a: Found Exact With HP Annotator	CTD
MESH:D004487	http://purl.obolibrary.org/obo/HP_0000969	Edema	Edema	Case 6a: Found Exact With HP Annotator	CTD
MESH:D004613	http://purl.obolibrary.org/obo/DOID_12714	Ellis-Van Creveld syndrome	Ellis-Van Creveld Syndrome		CTD
MESH:D004646	http://purl.obolibrary.org/obo/HP_0002097	Emphysema	Emphysema	Case 6a: Found Exact With HP Annotator	CTD
MESH:D004681	http://purl.obolibrary.org/obo/DOID_640	encephalomyelitis	"Encephalomyelitis, Autoimmune, Experimental"		CTD
MESH:D004749	http://purl.obolibrary.org/obo/DOID_9181	amebiasis	Entamoebiasis	Case 5a: Found Synonym With Disease Annotator Synonym	CTD
MESH:D004760	http://purl.obolibrary.org/obo/HP_0004387	Enterocolitis	Enterocolitis	Case 6a: Found Exact With HP Annotator	CTD
MESH:D004806	http://purl.obolibrary.org/obo/HP_0002888	Ependymoma	Ependymoma	Case 6: Found Exact With HP Annotator	CTD
MESH:D004890	http://purl.obolibrary.org/obo/HP_0010783	Erythema	Erythema	Case 6a: Found Exact With HP Annotator	CTD
MESH:D004892	http://purl.obolibrary.org/obo/DOID_0050185	erythema multiforme	Erythema Multiforme	Case 4a: Found Exact With Disease Annotator	CTD
MESH:D004892	http://purl.obolibrary.org/obo/DOID_0050185	erythema multiforme	Erythema Multiforme		CTD
MESH:D004915	http://purl.obolibrary.org/obo/DOID_9119	acute myeloid leukemia	Leukemia, Erythroblastic, Acute		CTD
MESH:D004932	http://purl.obolibrary.org/obo/DOID_799	varicose veins	Esophageal and Gastric Varices		CTD
MESH:D004940	http://purl.obolibrary.org/obo/HP_0010450	Esophageal stenosis	Esophageal Stenosis	Case 6a: Found Exact With HP Annotator	CTD
MESH:D005146	http://purl.obolibrary.org/obo/HP_0000324	Facial asymmetry	Facial Asymmetry	Case 6a: Found Exact With HP Annotator	CTD
MESH:D005198	http://purl.obolibrary.org/obo/DOID_1062	Fanconi syndrome	Fanconi Syndrome		CTD
MESH:D005207	http://purl.obolibrary.org/obo/HP_0002380	Fasciculations	Fasciculation	Case 7a: Found Synonym With HP Annotator Synonym	CTD
MESH:D005310	http://purl.obolibrary.org/obo/DOID_0050665	fetal alcohol syndrome	Fetal Alcohol Syndrome	Case 4a: Found Exact With Disease Annotator	CTD
MESH:D005310	http://purl.obolibrary.org/obo/DOID_0050665	fetal alcohol syndrome	Fetal Alcohol Syndrome		CTD
MESH:D005334	http://purl.obolibrary.org/obo/HP_0001945	Fever	Fever	Case 6a: Found Exact With HP Annotator	CTD
MESH:D005350	http://purl.obolibrary.org/obo/HP_0010614	Fibroma	Fibroma	Case 6a: Found Exact With HP Annotator	CTD
MESH:D005359	http://purl.obolibrary.org/obo/DOID_1858	McCune Albright syndrome	Fibrous Dysplasia, Polyostotic	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:D005532	http://purl.obolibrary.org/obo/HP_0001760	Abnormality of the foot	Foot Deformities, Congenital	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:D005600	http://purl.obolibrary.org/obo/DOID_14261	fragile X syndrome	Fragile X Syndrome		CTD
MESH:D005885	http://purl.obolibrary.org/obo/HP_0000212	Gingival overgrowth	Gingival Hyperplasia	Case 7a: Found Synonym With HP Annotator Synonym	CTD
MESH:D005891	http://purl.obolibrary.org/obo/DOID_3087	gingivitis	Gingivitis		CTD
MESH:D005911	http://purl.obolibrary.org/obo/HP_0002171	Gliosis	Gliosis	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006008	http://purl.obolibrary.org/obo/DOID_2747	glycogen storage disease	Glycogen Storage Disease		CTD
MESH:D006053	http://purl.obolibrary.org/obo/DOID_2907	Goldenhar syndrome	Goldenhar Syndrome		CTD
MESH:D006073	http://purl.obolibrary.org/obo/DOID_13189	gout	Gout	Case 4a: Found Exact With Disease Annotator	CTD
MESH:D006222	http://purl.obolibrary.org/obo/HP_0010566	Hamartoma	Hamartoma	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006228	http://purl.obolibrary.org/obo/HP_0001155	Abnormality of the hand	Hand Deformities, Congenital	Case 7a: Found Synonym With HP Annotator Synonym (keywords taken out)	CTD
MESH:D006250	http://purl.obolibrary.org/obo/DOID_1060	Hartnup disease	Hartnup Disease		CTD
MESH:D006255	http://purl.obolibrary.org/obo/DOID_4483	rhinitis	"Rhinitis, Allergic, Seasonal"		CTD
MESH:D006261	http://purl.obolibrary.org/obo/HP_0002315	Headache	Headache	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006314	http://purl.obolibrary.org/obo/HP_0000405	Conductive hearing impairment	Hearing Loss, Conductive	Case 7a: Found Synonym With HP Annotator Synonym	CTD
MESH:D006319	http://purl.obolibrary.org/obo/DOID_10003	sensorineural hearing loss	Hearing Loss, Sensorineural	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:D006327	http://purl.obolibrary.org/obo/HP_0001678	Atrioventricular block	Heart Block	Case 7a: Found Synonym With HP Annotator Synonym	CTD
MESH:D006332	http://purl.obolibrary.org/obo/HP_0001640	Cardiomegaly	Cardiomegaly	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006417	http://purl.obolibrary.org/obo/HP_0000790	Hematuria	Hematuria	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006457	http://purl.obolibrary.org/obo/DOID_582	hemoglobinuria	Hemoglobinuria, Paroxysmal		CTD
MESH:D006471	http://purl.obolibrary.org/obo/HP_0002239	Gastrointestinal hemorrhage	Gastrointestinal Hemorrhage	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006505	http://purl.obolibrary.org/obo/DOID_2237	hepatitis	Hepatitis	Case 4a: Found Exact With Disease Annotator	CTD
MESH:D006505	http://purl.obolibrary.org/obo/DOID_2237	hepatitis	Hepatitis		CTD
MESH:D006509	http://purl.obolibrary.org/obo/DOID_2043	hepatitis B	Hepatitis B		CTD
MESH:D006519	http://purl.obolibrary.org/obo/DOID_12351	alcoholic hepatitis	Hepatitis, Alcoholic	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:D006519	http://purl.obolibrary.org/obo/DOID_12351	alcoholic hepatitis	"Hepatitis, Alcoholic"		CTD
MESH:D006520	http://purl.obolibrary.org/obo/DOID_2237	hepatitis	Hepatitis, Animal	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:D006521	http://purl.obolibrary.org/obo/DOID_2237	hepatitis	Hepatitis, Chronic	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:D006525	http://purl.obolibrary.org/obo/DOID_1884	viral hepatitis	"Hepatitis, Viral, Human"		CTD
MESH:D006526	http://purl.obolibrary.org/obo/DOID_1883	hepatitis C	Hepatitis C		CTD
MESH:D006529	http://purl.obolibrary.org/obo/HP_0002240	Hepatomegaly	Hepatomegaly	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006552	http://purl.obolibrary.org/obo/HP_0000023	Inguinal hernia	Hernia, Inguinal	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:D006554	http://purl.obolibrary.org/obo/HP_0001537	Umbilical hernia	Hernia, Umbilical	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:D006555	http://purl.obolibrary.org/obo/HP_0002933	Ventral hernia	Hernia, Ventral	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:D006623	http://purl.obolibrary.org/obo/DOID_14175	von Hippel-Lindau disease	von Hippel-Lindau Disease		CTD
MESH:D006628	http://purl.obolibrary.org/obo/HP_0001007	Hirsutism	Hirsutism	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006933	http://purl.obolibrary.org/obo/DOID_2741	bilirubin metabolic disorder	Hyperbilirubinemia, Hereditary		CTD
MESH:D006937	http://purl.obolibrary.org/obo/HP_0003124	Hypercholesterolemia	Hypercholesterolemia	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006937	http://purl.obolibrary.org/obo/DOID_2487	hypercholesterolemia	Hypercholesterolemia		CTD
MESH:D006942	http://purl.obolibrary.org/obo/HP_0010702	Hypergammaglobulinemia	Hypergammaglobulinemia	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006947	http://purl.obolibrary.org/obo/HP_0002153	Hyperkalemia	Hyperkalemia	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006948	http://purl.obolibrary.org/obo/DOID_1094	attention deficit hyperactivity disorder	Hyperkinesis	Case 5a: Found Synonym With Disease Annotator Synonym	CTD
MESH:D006948	http://purl.obolibrary.org/obo/DOID_1094	attention deficit hyperactivity disorder	Hyperkinesis		CTD
MESH:D006955	http://purl.obolibrary.org/obo/HP_0003228	Hypernatremia	Hypernatremia	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006960	http://purl.obolibrary.org/obo/DOID_2977	primary hyperoxaluria	"Hyperoxaluria, Primary"		CTD
MESH:D006963	http://purl.obolibrary.org/obo/HP_0002591	Polyphagia	Hyperphagia	Case 7a: Found Synonym With HP Annotator Synonym	CTD
MESH:D006968	http://purl.obolibrary.org/obo/DOID_0060056	hypersensitivity reaction disease	Hypersensitivity, Delayed		CTD
MESH:D006969	http://purl.obolibrary.org/obo/DOID_0060056	hypersensitivity reaction disease	Hypersensitivity, Immediate		CTD
MESH:D006972	http://purl.obolibrary.org/obo/HP_0000316	Hypertelorism	Hypertelorism	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006985	http://purl.obolibrary.org/obo/HP_0002883	Hyperventilation	Hyperventilation	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006994	http://purl.obolibrary.org/obo/HP_0004319	Hypoaldosteronism	Hypoaldosteronism	Case 6a: Found Exact With HP Annotator	CTD
MESH:D006994	http://purl.obolibrary.org/obo/DOID_12251	hypoaldosteronism	Hypoaldosteronism		CTD
MESH:D006996	http://purl.obolibrary.org/obo/HP_0002901	Hypocalcemia	Hypocalcemia	Case 6a: Found Exact With HP Annotator	CTD
MESH:D007008	http://purl.obolibrary.org/obo/DOID_4500	hypokalemia	Hypokalemia	Case 4a: Found Exact With Disease Annotator	CTD
MESH:D007008	http://purl.obolibrary.org/obo/DOID_4500	hypokalemia	Hypokalemia		CTD
