# Expression data file generated by Gemma on 02/05/2009
# shortName=GSE59
# name=Human cancer cell lines
# Experiment details: http://chibi.ubc.ca/Gemma/expressionExperiment/showExpressionExperiment.html?id=452
# If you use this file for your research, please cite the Gemma web site: http://chibi.ubc.ca/Gemma
Probe	GeneSymbol	GeneName	GSE59_bioMaterial_68___K.562(CL7005)LEUKEMIA	GSE59_bioMaterial_67___HL.60(CL7008)LEUKEMIA	GSE59_bioMaterial_66___OVCAR.4(CL6002)OVARIAN	GSE59_bioMaterial_7___HCT.15_CL4015__COLON	GSE59_bioMaterial_6___HCC.2998(CL4002)COLON	GSE59_bioMaterial_3___COLO205_CL4010_COLON	GSE59_bioMaterial_2___SW.620_CL4009_COLON	GSE59_bioMaterial_1___HT.29___CL4001__COLON	GSE59_bioMaterial_5___KM12__CL4017_COLON	GSE59_bioMaterial_4___HCT.116_CL4003_COLON	GSE59_bioMaterial_8___ADR.RES_CL5002_UNKNOWN	GSE59_bioMaterial_11___K562A.repro	GSE59_bioMaterial_10___K562B.repro	GSE59_bioMaterial_14___SR_CL7019__LEUKEMIA	GSE59_bioMaterial_9___MOLT.4_CL7006_LEUKEMIA	GSE59_bioMaterial_12___CCRF.CEM_CL7003_LEUKEMIA	GSE59_bioMaterial_13___RPMI.8226_CL7010__LEUKEMIA	GSE59_bioMaterial_17___OVCAR.8_CL6005_OVARIAN	GSE59_bioMaterial_16___OVCAR.5_CL6003_OVARIAN	GSE59_bioMaterial_15___OVCAR.3_CL6001_OVARIAN	GSE59_bioMaterial_19___IGROV1_CL6010_OVARIAN	GSE59_bioMaterial_18___SK.OV.3_CL6011_OVARIAN	GSE59_bioMaterial_20___DU.145_CL11003_PROSTATE	GSE59_bioMaterial_21___SK.MEL.28_CL10008_MELANOMA	GSE59_bioMaterial_23___SK.MEL.5_CL10007_MELANOMA	GSE59_bioMaterial_27___SK.MEL.2_CL10005_MELANOMA	GSE59_bioMaterial_22___UACC.257CL10021_MELANOMA	GSE59_bioMaterial_24___MALME.3M_CL10002_MELANOMA	GSE59_bioMaterial_25___M.14_CL10014_MELANOMA	GSE59_bioMaterial_26___UACC.62_CL10020_MELANOMA	GSE59_bioMaterial_28___NCI.H23_CL1001__NSCLC	GSE59_bioMaterial_34___A549_CL1004__NSCLC	GSE59_bioMaterial_32___HOP.62_CL1026_NSCLC	GSE59_bioMaterial_36___NCI.H322_CL1017_NSCLC	GSE59_bioMaterial_33___NCI.H460_CL1021_NSCLC	GSE59_bioMaterial_31___NCI.H522_CL1003__NSCLC	GSE59_bioMaterial_29___EKVX__CL1008_NSCLC	GSE59_bioMaterial_35___HOP.92__CL1029_NSCLC	GSE59_bioMaterial_30___NCI.H226_CL1013__NSCLC	GSE59_bioMaterial_39___SF.295_CL12015_CNS	GSE59_bioMaterial_37___SNB.19_CL12002_CNS	GSE59_bioMaterial_38___SF.539__CL12016_CNS	GSE59_bioMaterial_41___U251_CL12009_CNS	GSE59_bioMaterial_40___SF.268__CL12014_CNS	GSE59_bioMaterial_48___BT.549_CL5013_BREAST	GSE59_bioMaterial_52___BreastTumor16XNCIreference	GSE59_bioMaterial_44___MDA.N_CL5012__BREAST	GSE59_bioMaterial_47___MCF7_CL5001__BREAST	GSE59_bioMaterial_49___BC2LymphNodeXNCIreference	GSE59_bioMaterial_53___MDA.MB.231_CL5005__BREAST	GSE59_bioMaterial_43___MCF7D.repro	GSE59_bioMaterial_42___BreastTumor2XNCIreference	GSE59_bioMaterial_51___MDA.MB.435_CL5011__BREAST	GSE59_bioMaterial_45___MCF7A.repro	GSE59_bioMaterial_46___T.47D__CL5014__BREAST	GSE59_bioMaterial_50___HS_578T_CL5006__BREAST	GSE59_bioMaterial_55___786.0__CL9018_RENAL	GSE59_bioMaterial_61___A498_CL9013_RENAL	GSE59_bioMaterial_57___RXF.393_CL9016__RENAL	GSE59_bioMaterial_58___UO.31_CL9004__RENAL	GSE59_bioMaterial_60___SNB.75_CL12005_RENAL	GSE59_bioMaterial_54___TK.10_CL9024_RENAL	GSE59_bioMaterial_62___SN12C_CL9008__RENAL	GSE59_bioMaterial_56___ACHN_CL9023_RENAL	GSE59_bioMaterial_59___CAKI.1(CL9015)RENAL	GSE59_bioMaterial_63___NormalBreast	GSE59_bioMaterial_64___LOXIMVI(CL10001)MELANOMA	GSE59_bioMaterial_65___PC.3(CL11001)PROSTATE
531	C1orf32.aApr07		NaN	NaN	NaN	-5.478	NaN	-3.174	-2.65	NaN	-3.963	-3.745	-4.696	NaN	NaN	NaN	-4.181	-4.17	NaN	-4.861	-2.884	NaN	NaN	NaN	-3.212	-5.732	-6.294	NaN	-3.193	NaN	-3.488	-4.446	-3.76	-5.682	2.317	-6.114	NaN	-5.552	NaN	4.364	-4.929	NaN	-2.247	-1.549	NaN	NaN	-6.024	1.979	-6.118	NaN	2.347	-7.453	NaN	0.685	NaN	NaN	NaN	-3.673	1.614	0.07	1.403	1.728	3.923	-2.443	NaN	-1.047	4.608	NaN	NaN	NaN	
5310	FOXRED2	FAD-dependent oxidoreductase domain containing 2	0.423	0.118	0.694	0.554	1.683	NaN	0.056	NaN	-0.102	-0.374	0.77	0.589	NaN	-0.471	0.742	NaN	NaN	0.466	0.325	-0.45	0.575	NaN	-1.279	1.425	0.936	NaN	1.186	NaN	1.441	0.983	0.047	NaN	-0.188	0.225	NaN	NaN	0.024	NaN	NaN	NaN	0.53	0.319	0.028	0.145	0.911	NaN	1.305	0.813	NaN	NaN	0.807	NaN	1.535	0.872	1.171	NaN	-0.301	-0.088	-0.8	-0.364	1.015	0.279	NaN	-0.105	-0.568	NaN	NaN	0.579	
5311	LASS6|AL080192	LAG1 homolog, ceramide synthase 6|	-1.206	1.019	-0.113	0.429	1.393	0.246	0.391	0.821	0.807	0.219	-0.058	-0.67	NaN	0.357	0.914	NaN	-0.055	-0.241	0.491	-0.224	-0.011	NaN	-0.377	-1.708	-0.231	NaN	-1.488	NaN	NaN	-1.151	0.947	NaN	-0.412	-0.069	1.545	0.128	-0.919	-1.398	-0.905	NaN	-1.017	-1.061	-0.799	-3.023	-1.06	0.859	-4.024	-0.177	NaN	-1.515	0.163	-0.52	-2.795	0.703	0.391	-0.826	-1.927	0.106	-4.712	-0.61	0.185	0.293	-1.065	-1.011	-0.282	NaN	0.609	0.465	
5312	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5313	AX746627		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5314	MGC42105	serine/threonine-protein kinase NIM1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5315	UTP14C|ALG11	UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast)|asparagine-linked glycosylation 11, alpha-1,2-mannosyltransferase homolog (yeast)	0.264	0.783	0.162	0.058	0.209	0.336	0.196	-0.184	-0.384	-0.447	-0.091	0.677	0.181	0.171	-0.173	0.093	-0.179	-0.248	-0.358	-0.305	-0.121	NaN	-0.674	0.057	-0.085	0.046	-0.066	-0.161	0.068	-0.403	0.0090	NaN	-0.255	-0.472	-0.354	-0.57	-0.465	-0.468	-0.354	0.509	-0.579	-0.287	0.08	-1.202	-0.058	-0.819	-0.076	-0.858	NaN	-0.915	-0.214	-1.091	-0.075	0.199	-0.214	-0.195	-0.721	-0.222	-0.252	-0.295	0.347	-0.727	-0.35	-0.92	-0.293	-0.183	0.217	0.244	
5316	RP11-94I2.3.iApr07|RP11-94I2.3.fApr07-unspliced|RP11-94I2.2	||hypothetical protein LOC200030	NaN	1.163	NaN	NaN	NaN	NaN	0.619	NaN	NaN	0.202	0.525	NaN	NaN	NaN	0.816	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.064	NaN	0.489	NaN	NaN	NaN	NaN	NaN	0.612	NaN	NaN	NaN	NaN	1.387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5317			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5318	OLA1|DKFZp761C10121	Obg-like ATPase 1|	NaN	NaN	NaN	NaN	NaN	NaN	0.691	NaN	NaN	NaN	NaN	-0.037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.015	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5319	PDYN|LOC727993	prodynorphin|hypothetical protein LOC727993	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
532	BX089555.par.3.46935310.46935836		NaN	NaN	NaN	-0.658	NaN	NaN	NaN	NaN	NaN	0.32	-0.863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.306	NaN	NaN	NaN	-0.031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.143	NaN	0.508	NaN	NaN	-0.101	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.72	NaN	NaN	NaN	1.145	NaN	NaN	NaN	NaN	NaN	NaN	1.723	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5320	CDH8	cadherin 8, type 2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.46	NaN	NaN	-0.114	NaN	0.865	NaN	NaN	NaN	NaN	0.365	0.474	NaN	NaN	NaN	NaN	0.471	NaN	NaN	0.984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.296	NaN	NaN	NaN	
5321	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	NaN	NaN	NaN	NaN	NaN	0.925	1.396	NaN	NaN	0.129	NaN	NaN	NaN	0.421	NaN	NaN	NaN	NaN	0.334	1.421	NaN	NaN	0.045	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.742	NaN	NaN	NaN	NaN	-0.185	NaN	NaN	0.245	NaN	NaN	NaN	0.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.763	NaN	0.645	0.719	1.02	0.531	NaN	NaN	NaN	NaN	1.168	NaN	NaN	NaN	
5322	CHRAC1	chromatin accessibility complex 1	NaN	NaN	NaN	NaN	NaN	NaN	0.091	1.91	0.65	0.036	1.392	NaN	NaN	-0.166	1.084	NaN	NaN	0.926	NaN	NaN	NaN	NaN	0.431	NaN	0.825	NaN	NaN	NaN	NaN	NaN	1.549	NaN	0.303	NaN	NaN	0.473	NaN	NaN	-0.398	NaN	NaN	1.4	-0.023	NaN	0.569	NaN	0.834	NaN	NaN	NaN	NaN	NaN	0.481	NaN	0.426	NaN	0.422	-0.088	0.245	NaN	NaN	NaN	0.709	NaN	0.342	NaN	NaN	NaN	
5323	seko.aApr07-unspliced		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5324	flydar.bApr07		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.442	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5325			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5326	CACNA1E|AF387615	calcium channel, voltage-dependent, R type, alpha 1E subunit|	NaN	NaN	NaN	0.905	NaN	NaN	0.637	NaN	NaN	NaN	0.177	NaN	NaN	NaN	NaN	0.194	NaN	0.151	NaN	NaN	NaN	NaN	-0.312	NaN	NaN	NaN	NaN	NaN	NaN	0.351	0.268	NaN	NaN	0.856	NaN	NaN	NaN	NaN	0.578	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.243	NaN	NaN	NaN	1.002	NaN	NaN	0.828	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.064	NaN	NaN	NaN	NaN	NaN	NaN	
5327	AK096649|SATB2	|SATB homeobox 2	1.616	1.061	NaN	0.76	NaN	NaN	NaN	NaN	0.269	0.096	0.319	1.297	NaN	NaN	NaN	NaN	NaN	-0.313	1.471	NaN	NaN	NaN	-0.107	0.365	-0.247	NaN	NaN	NaN	NaN	0.399	-1.083	NaN	NaN	0.408	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.326	NaN	NaN	-1.907	NaN	0.455	NaN	NaN	NaN	0.137	NaN	0.519	-0.366	NaN	NaN	-1.258	0.225	0.334	-0.084	NaN	0.613	-0.546	-0.59	NaN	NaN	NaN	NaN	
5328	EXOSC10	exosome component 10	0.806	0.527	-0.298	0.266	-0.225	-0.267	-0.0040	0.056	-0.26	-0.284	0.28	0.686	0.233	0.495	0.423	0.142	-0.288	0.062	-0.508	-0.623	-0.072	NaN	-0.213	0.234	0.284	0.028	0.979	-0.463	1.01	0.453	1.002	NaN	0.382	-0.37	-0.542	0.301	-0.783	-0.139	-0.211	-0.444	-0.589	0.13	0.341	-1.124	0.255	NaN	0.657	-0.937	NaN	-0.178	-0.377	NaN	0.73	-0.603	-0.106	-0.035	0.189	-1.5	0.071	-0.249	0.13	0.381	0.28	-1.191	-0.686	NaN	-0.537	0.05	
5329	ST6GALNAC5	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	-1.762	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.155	-1.05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.168	NaN	NaN	NaN	-0.356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.342	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.016	NaN	NaN	NaN	NaN	NaN	-0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.725	-0.305	NaN	NaN	1.266	NaN	-2.304	0.033	-1.85	0.304	NaN	NaN	NaN	
533	snastawby.aApr07|snostawby.aApr07	|	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.919	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.494	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5330	DGKG	diacylglycerol kinase, gamma 90kDa	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5331	GPSM3|GPSM3|GPSM3	G-protein signaling modulator 3 (AGS3-like, C. elegans)||	1.427	1.485	NaN	NaN	NaN	NaN	0.293	NaN	NaN	-1.324	0.423	1.572	NaN	1.873	1.85	2.914	0.948	NaN	1.011	-0.128	NaN	NaN	-0.47	NaN	NaN	1.322	0.788	0.431	NaN	NaN	-1.602	NaN	0.046	NaN	NaN	NaN	NaN	0.714	NaN	NaN	NaN	NaN	NaN	NaN	-1.261	NaN	-0.305	-1.035	NaN	1.73	NaN	NaN	0.393	NaN	NaN	NaN	-1.015	NaN	-0.101	NaN	NaN	NaN	0.62	-0.846	NaN	NaN	0.797	NaN	
5332	GNA12	guanine nucleotide binding protein (G protein) alpha 12	-0.989	-0.601	-0.743	-0.785	-0.128	-1.49	-0.059	-0.193	-1.054	-0.273	-0.326	-0.749	NaN	-0.023	-1.77	0.124	-0.0080	-0.142	0.867	0.306	-0.339	NaN	0.859	-0.597	-0.306	-0.03	-0.528	-0.543	NaN	-0.0010	0.673	NaN	0.718	0.139	-0.347	-0.597	0.454	0.752	0.833	0.825	0.59	1.071	1.554	0.199	0.05	-0.35	-0.849	-0.794	-0.419	0.487	-0.502	NaN	-0.857	-0.275	-0.332	1.097	0.711	1.606	0.773	0.532	0.982	0.362	0.283	0.518	0.235	NaN	-0.058	0.665	
5333	glujey.aApr07-unspliced		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5334	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5335	AK055100		0.564	0.786	-0.226	-0.121	-0.605	-0.078	1.074	0.044	-0.453	-0.303	-0.417	0.77	0.313	-0.149	0.772	1.141	-0.525	-0.168	-0.298	-0.269	-0.192	-0.137	-0.168	-0.554	-0.763	-0.0030	-0.74	-0.66	NaN	-0.44	0.072	NaN	-0.012	-0.942	-0.014	0.334	-0.554	-0.555	-0.351	-0.178	-0.359	0.063	0.014	-1.054	0.22	-0.518	-0.677	-0.037	-0.77	0.018	0.273	-0.851	-0.605	0.521	-0.523	-0.989	-0.169	-0.19	-0.09	-0.276	-0.097	0.052	-0.496	-0.557	-0.612	NaN	-0.015	0.217	
5336	AK090984|C6orf148|C6orf147|KHDC1	||chromosome 6 open reading frame 147|KH homology domain containing 1	0.388	0.322	-0.92	0.179	0.465	0.092	0.569	0.413	1.375	0.938	0.641	0.527	0.76	-0.122	-0.715	-0.713	0.242	0.32	0.197	0.271	0.33	-0.745	-0.154	0.086	1.204	-0.138	-0.0040	-0.479	NaN	-0.173	0.418	NaN	0.21	-0.478	-0.053	-0.418	-0.792	0.131	-0.572	-0.761	-1.185	0.62	-0.858	-2.212	0.931	-1.45	0.063	0.399	-1.374	0.109	0.924	0.311	-0.263	1.157	-0.057	0.075	0.664	0.188	0.136	0.022	-0.612	0.038	-0.277	-0.834	0.179	-0.712	0.962	0.275	
5337	NUDT16L1	nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1	1.977	NaN	NaN	NaN	NaN	NaN	1.975	NaN	NaN	0.208	0.064	1.578	NaN	NaN	NaN	NaN	NaN	-0.288	NaN	NaN	NaN	2.15	-0.209	-0.188	0.638	NaN	NaN	NaN	NaN	1.263	NaN	NaN	NaN	NaN	NaN	1.019	NaN	NaN	NaN	NaN	NaN	NaN	0.736	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.73	NaN	NaN	NaN	-0.328	0.134	NaN	NaN	-0.533	NaN	NaN	-0.093	NaN	NaN	NaN	
5338	GABRB3|DKFZp781L0846	gamma-aminobutyric acid (GABA) A receptor, beta 3|	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.148	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5339	TOP1|BC035080	topoisomerase (DNA) I|	0.489	0.335	0.041	0.287	-0.284	0.129	0.242	0.443	0.256	0.64	-0.064	0.744	0.354	0.723	0.708	1.047	0.264	-0.193	0.503	-0.45	-0.072	-0.225	-0.649	-0.58	-0.593	-0.448	0.232	-0.818	-0.461	0.368	0.857	NaN	-0.369	0.337	0.072	-0.287	-0.629	-0.803	-0.869	-0.453	-0.533	-0.59	-0.652	-1.492	-1.039	-0.017	0.042	0.558	-1.113	-0.49	0.746	-0.558	0.089	1.224	-0.596	-1.399	-0.599	-1.101	-0.606	0.156	-0.646	-0.407	-0.838	-0.81	-0.501	-0.954	0.16	0.411	
534	U52827		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5340	U80773		NaN	0.649	NaN	-0.086	0.209	NaN	NaN	NaN	-0.182	0.227	-0.245	NaN	NaN	NaN	NaN	NaN	NaN	-0.154	NaN	0.51	NaN	NaN	-0.102	NaN	-0.024	NaN	NaN	NaN	0.442	0.033	-0.246	NaN	NaN	0.091	NaN	0.494	NaN	NaN	0.622	NaN	NaN	-0.795	0.109	NaN	-0.013	NaN	NaN	NaN	NaN	NaN	0.336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.172	NaN	NaN	0.331	0.224	NaN	NaN	
5341	XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.669	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
5342	NOVA1	neuro-oncological ventral antigen 1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.794	NaN	NaN	NaN	NaN	NaN	NaN	0.853	NaN	NaN	NaN	NaN	1.786	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
